# x_m,y_m,w_tr_right_m,w_tr_left_m
0.960975,4.022273,7.565,7.361
1.7555578,3.4152298,7.5687985,7.3651986
2.5501363,2.808181,7.5725975,7.369397
3.3447108,2.2011273,7.576396,7.3735957
4.1392817,1.5940686,7.580195,7.3777943
4.93385,0.987006,7.5839934,7.381993
5.7284145,0.37993962,7.5877924,7.3861914
6.5229774,-0.22712998,7.591591,7.3903904
7.3175373,-0.8342024,7.59539,7.394589
8.112096,-1.4412773,7.599189,7.3987875
8.906653,-2.0483541,7.6029873,7.402986
9.701209,-2.6554325,7.6067863,7.4071846
10.495764,-3.262512,7.6105847,7.411383
11.2903185,-3.869592,7.6143837,7.4155817
12.084873,-4.476672,7.618182,7.4197803
12.879428,-5.0837517,7.621981,7.423979
13.673984,-5.6908307,7.6257796,7.4279785
14.468539,-6.2979083,7.6295786,7.4319773
15.263098,-6.904984,7.633377,7.435976
16.057657,-7.5120573,7.637176,7.439975
16.852219,-8.119128,7.6409745,7.4439735
17.646784,-8.726195,7.644575,7.4481707
18.44135,-9.33326,7.648174,7.452369
19.23592,-9.940319,7.6517725,7.456568
20.030493,-10.547376,7.655371,7.4607663
20.82507,-11.154428,7.6589704,7.4649653
21.619648,-11.761475,7.6627674,7.469164
22.41423,-12.368518,7.666566,7.4733624
23.208817,-12.975557,7.670365,7.477561
24.003407,-13.582592,7.6741633,7.4817595
24.797998,-14.189622,7.6779623,7.485958
25.592594,-14.796649,7.681761,7.4901567
26.387192,-15.403671,7.6855597,7.494355
27.181793,-16.01069,7.689358,7.4985538
27.976398,-16.617704,7.693157,7.502753
28.771006,-17.224716,7.6969557,7.5069513
29.565617,-17.831722,7.7007546,7.51115
30.36023,-18.438726,7.704553,7.5153484
31.154846,-19.045725,7.708352,7.519547
31.949465,-19.652721,7.7121506,7.5237455
32.744087,-20.259712,7.7159495,7.527944
33.53871,-20.8667,7.719748,7.5321426
34.33334,-21.473684,7.723547,7.536341
35.12797,-22.080664,7.7273455,7.5405397
35.922604,-22.687641,7.7311444,7.5447383
36.71724,-23.294613,7.734943,7.548937
37.51188,-23.901583,7.738742,7.552939
38.306522,-24.508549,7.7425404,7.556937
39.101166,-25.115513,7.7463393,7.560936
39.895813,-25.722471,7.750138,7.5649347
40.69046,-26.329428,7.753937,7.5689335
41.485115,-26.93638,7.7577353,7.5731287
42.27977,-27.543327,7.761534,7.5773273
43.074425,-28.150274,7.7653327,7.581526
43.869087,-28.757215,7.7691317,7.5857244
44.66375,-29.364155,7.77293,7.589923
45.458412,-29.97109,7.776729,7.5941215
46.253082,-30.578022,7.7805276,7.59832
47.047752,-31.184952,7.7843266,7.6025186
47.842422,-31.791878,7.788125,7.606717
48.637096,-32.3988,7.7919235,7.6109157
49.431774,-33.00572,7.7955265,7.615114
50.226456,-33.612637,7.799125,7.619313
51.021137,-34.21955,7.802724,7.6235113
51.81582,-34.82646,7.806323,7.62771
52.610504,-35.43337,7.8099217,7.6319084
53.405193,-36.040276,7.813716,7.636107
54.199886,-36.647175,7.817515,7.6403055
54.99458,-37.254074,7.8213134,7.644504
55.789272,-37.86097,7.825112,7.6487026
56.58397,-38.467865,7.828911,7.652901
57.37867,-39.074757,7.8327093,7.6569047
58.17337,-39.681644,7.8365083,7.6609035
58.968075,-40.28853,7.8403068,7.6649017
59.76278,-40.895412,7.8441057,7.6689005
60.557487,-41.502293,7.847904,7.6728992
61.352196,-42.10917,7.851703,7.6770926
62.146908,-42.71604,7.8555017,7.681291
62.94162,-43.322914,7.8593,7.6854897
63.736336,-43.929787,7.863099,7.689688
64.53105,-44.53665,7.8668976,7.6938868
65.32577,-45.143517,7.8706965,7.6980853
66.12049,-45.75038,7.874495,7.702284
66.915215,-46.357243,7.878294,7.7064824
67.70994,-46.9641,7.8820925,7.710681
68.50466,-47.570953,7.885891,7.7148795
69.29939,-48.177807,7.88969,7.719078
70.094124,-48.784657,7.8934884,7.7232766
70.888855,-49.391506,7.8972874,7.727475
71.683586,-49.998352,7.901086,7.7316737
72.47832,-50.605198,7.904885,7.7358723
73.273056,-51.21204,7.9086833,7.740071
74.067795,-51.81888,7.912482,7.7442694
74.86253,-52.425716,7.9162807,7.748468
75.65727,-53.032555,7.920079,7.7526665
76.45202,-53.63939,7.923878,7.756865
77.24676,-54.24622,7.927483,7.7610636
78.041504,-54.85305,7.931082,7.765262
78.83625,-55.45988,7.9346805,7.7694607
79.631004,-56.066708,7.9382796,7.773659
80.42575,-56.67353,7.9418783,7.777858
81.220505,-57.280354,7.94567,7.781863
82.01525,-57.887177,7.9494686,7.785862
82.810005,-58.493996,7.9532676,7.7898602
83.60476,-59.100815,7.957066,7.793859
84.39952,-59.70763,7.9608645,7.7978578
85.194275,-60.314445,7.9646635,7.802049
85.98904,-60.921257,7.968462,7.8062477
86.78379,-61.52807,7.972261,7.8104463
87.57855,-62.134876,7.9760594,7.814645
88.373314,-62.741688,7.979858,7.8188434
89.16808,-63.34849,7.983657,7.823042
89.962845,-63.9553,7.9874554,7.8272405
90.75761,-64.5621,7.9912543,7.831439
91.552376,-65.16891,7.995053,7.835637
92.347145,-65.77571,7.9988513,7.8398356
93.141914,-66.38251,8.00265,7.844034
93.93668,-66.9893,8.006449,7.8482327
94.73145,-67.59611,8.010247,7.8524313
95.52622,-68.2029,8.014046,7.85663
96.32099,-68.8097,8.017845,7.8608284
97.11577,-69.41649,8.021644,7.865027
97.91054,-70.023285,8.025442,7.8692255
98.705315,-70.63007,8.029241,7.873424
99.50009,-71.23687,8.033039,7.8776226
100.29487,-71.84366,8.036839,7.881821
101.089645,-72.45045,8.040637,7.8860197
101.88442,-73.057236,8.0444355,7.8902183
102.6792,-73.664024,8.048234,7.894417
103.473976,-74.270805,8.052032,7.8986154
104.26875,-74.877594,8.055832,7.902814
105.06354,-75.484375,8.05963,7.9068213
105.858315,-76.09116,8.063429,7.9108195
106.6531,-76.697945,8.067227,7.9148183
107.44788,-77.304726,8.071026,7.918817
108.24266,-77.91151,8.074824,7.9228153
109.037445,-78.51829,8.078433,7.927005
109.83223,-79.12507,8.082031,7.9312034
110.627014,-79.73185,8.08563,7.935402
111.4218,-80.33863,8.089229,7.9396005
112.21658,-80.94541,8.092828,7.943799
113.01137,-81.552185,8.096617,7.9479976
113.80615,-82.158966,8.100415,7.952196
114.60094,-82.76575,8.104214,7.956394
115.39572,-83.37252,8.108012,7.9605927
116.190506,-83.9793,8.111812,7.9647913
116.9853,-84.586075,8.11561,7.96899
117.78008,-85.19285,8.119409,7.9731884
118.57487,-85.79963,8.123207,7.977387
119.36965,-86.4064,8.127006,7.9815855
120.164444,-87.013176,8.130805,7.985784
120.95923,-87.61996,8.1346035,7.9899826
121.75401,-88.22673,8.138402,7.994181
122.548805,-88.8335,8.1422,7.9983797
123.34359,-89.44028,8.145999,8.002578
124.13838,-90.04706,8.149797,8.006777
124.93317,-90.65383,8.153597,8.010975
125.72795,-91.260605,8.157395,8.015174
126.52274,-91.86738,8.161194,8.019372
127.31753,-92.47416,8.164992,8.023571
128.11232,-93.08093,8.168791,8.027769
128.9071,-93.687706,8.172589,8.031778
129.70189,-94.29449,8.176389,8.035777
130.49667,-94.90126,8.180187,8.039776
131.29146,-95.50804,8.183986,8.043775
132.08624,-96.114815,8.187784,8.047773
132.88103,-96.721596,8.191583,8.05196
133.67581,-97.32837,8.195381,8.056159
134.4706,-97.93515,8.199181,8.060357
135.26538,-98.54192,8.202979,8.064555
136.06017,-99.148705,8.206778,8.068754
136.85495,-99.755486,8.210576,8.072952
137.64973,-100.36227,8.214375,8.077151
138.44452,-100.96905,8.218173,8.081349
139.2393,-101.57583,8.221972,8.085548
140.03409,-102.18261,8.225771,8.089746
140.82887,-102.78939,8.229382,8.0939455
141.62366,-103.39617,8.232981,8.098144
142.41843,-104.00296,8.236579,8.102343
143.21321,-104.60974,8.240178,8.106541
144.008,-105.21653,8.243776,8.110739
144.80276,-105.82331,8.247562,8.114938
145.59755,-106.4301,8.251361,8.119136
146.39233,-107.03689,8.25516,8.123335
147.1871,-107.64368,8.258959,8.127533
147.98189,-108.250465,8.262757,8.131732
148.77666,-108.85726,8.266556,8.13593
149.57143,-109.46405,8.270354,8.140129
150.36621,-110.07085,8.274153,8.144327
151.16098,-110.677635,8.277952,8.148525
151.95575,-111.28443,8.281751,8.152724
152.75052,-111.89123,8.285549,8.156735
153.54529,-112.498024,8.289348,8.160734
154.34006,-113.10483,8.293146,8.164733
155.13483,-113.711624,8.296945,8.168732
155.9296,-114.31843,8.300744,8.17273
156.72437,-114.92523,8.304543,8.176915
157.51913,-115.532036,8.308341,8.181113
158.31389,-116.13884,8.3121395,8.185312
159.10866,-116.74564,8.315938,8.18951
159.90341,-117.352455,8.3197365,8.193709
160.69818,-117.95927,8.323536,8.197907
161.49294,-118.56607,8.327334,8.202106
162.2877,-119.17288,8.331133,8.206305
163.08246,-119.77969,8.334931,8.210504
163.87721,-120.38651,8.33873,8.214702
164.67197,-120.993324,8.342528,8.2189
165.46674,-121.60014,8.346328,8.223099
166.26149,-122.20696,8.350126,8.227297
167.05624,-122.81378,8.353925,8.231496
167.851,-123.4206,8.357723,8.235694
168.64574,-124.02742,8.361522,8.239893
169.44049,-124.63424,8.36532,8.244091
170.23524,-125.241066,8.36912,8.24829
171.03,-125.84789,8.372918,8.252488
171.82475,-126.45471,8.376717,8.256686
172.61949,-127.06154,8.38033,8.260885
173.41425,-127.66837,8.383929,8.265083
174.20898,-128.27519,8.387527,8.269282
175.00374,-128.88203,8.391127,8.27348
175.79848,-129.48886,8.394725,8.277679
176.59322,-130.09569,8.398508,8.2816925
177.38797,-130.70253,8.402307,8.285691
178.18271,-131.30936,8.406106,8.28969
178.97745,-131.9162,8.4099045,8.293689
179.77219,-132.52303,8.413703,8.297688
180.56693,-133.12987,8.417501,8.30187
181.36166,-133.73671,8.4213,8.306068
182.1564,-134.34354,8.425098,8.310267
182.95114,-134.95038,8.428898,8.3144655
183.74588,-135.55722,8.432696,8.318664
184.54062,-136.16406,8.436495,8.322863
185.33536,-136.7709,8.440293,8.327061
186.1301,-137.37775,8.444092,8.33126
186.92482,-137.9846,8.44789,8.335458
187.71956,-138.59145,8.45169,8.339657
188.5143,-139.19829,8.455488,8.343855
189.30902,-139.80515,8.459287,8.348054
190.10376,-140.41199,8.463085,8.352252
190.89848,-141.01883,8.466884,8.35645
191.69322,-141.62569,8.470682,8.360649
192.48795,-142.23253,8.474481,8.364847
193.28267,-142.83939,8.47828,8.369046
194.07741,-143.44624,8.482079,8.373244
194.87213,-144.0531,8.485877,8.377443
195.66685,-144.65994,8.4896755,8.381641
196.46158,-145.2668,8.493474,8.38584
197.25632,-145.87366,8.4972725,8.3900385
198.05104,-146.48051,8.501072,8.394237
198.84576,-147.08737,8.50487,8.398436
199.64049,-147.69423,8.508669,8.402634
200.43521,-148.30109,8.512285,8.40665
201.22993,-148.90794,8.515883,8.410648
202.02466,-149.51482,8.519483,8.414647
202.81938,-150.12167,8.523081,8.418646
203.61409,-150.72853,8.52668,8.422645
204.40881,-151.33539,8.53046,8.426825
205.20354,-151.94226,8.53426,8.431024
205.99826,-152.54912,8.538058,8.435222
206.79298,-153.15599,8.541857,8.439421
207.58769,-153.76285,8.545655,8.443619
208.38242,-154.36972,8.549454,8.447818
209.17712,-154.97658,8.553252,8.452016
209.97185,-155.58345,8.557051,8.456215
210.76657,-156.19032,8.56085,8.460413
211.56128,-156.79718,8.564649,8.464611
212.356,-157.40405,8.568447,8.46881
213.15071,-158.01093,8.572246,8.473008
