# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.109596,0.066431,5.076,5.462
-0.19831662,0.47811493,5.0758,5.4642005
0.71346813,0.8886783,5.0756,5.4664006
1.6257585,1.2981169,5.0754,5.468601
2.538555,1.7064264,5.0752,5.4708014
3.4518573,2.1136026,5.075005,5.473
4.365663,2.5196478,5.0810056,5.4728
5.279958,2.924591,5.0870066,5.4726
6.194724,3.3284678,5.093007,5.4723997
7.109945,3.7313132,5.099008,5.4722
8.025603,4.1331635,5.1050086,5.472
8.941683,4.5340524,5.111009,5.472
9.8581705,4.934007,5.117009,5.472
10.775054,5.3330545,5.1230097,5.472
11.692321,5.73122,5.1290097,5.472
12.609959,6.12853,5.1350102,5.4719996
13.527954,6.525011,5.14101,5.4718
14.446296,6.920692,5.1470094,5.4715996
15.364969,7.315601,5.153009,5.4714
16.28396,7.7097664,5.1590085,5.4711995
17.20326,8.103218,5.165008,5.4709997
18.12285,8.495984,5.171007,5.4708
19.042723,8.888094,5.177006,5.4705997
19.962862,9.279574,5.183005,5.4704
20.883257,9.670454,5.1890035,5.4702
21.803896,10.060762,5.195002,5.47
22.724764,10.450526,5.201,5.4698
23.64585,10.839774,5.2069983,5.4696
24.56714,11.228536,5.2129965,5.4694
25.488626,11.616838,5.218994,5.4692
26.410292,12.004712,5.2249923,5.4690003
27.332127,12.392184,5.2309895,5.4688005
28.254118,12.779284,5.2369866,5.4686003
29.176254,13.1660385,5.242984,5.4684005
30.098522,13.552477,5.248981,5.4682007
31.02091,13.938629,5.254978,5.468001
31.943407,14.324523,5.2609744,5.4678006
32.866,14.710187,5.2669706,5.467601
33.788677,15.095649,5.272967,5.467401
34.711426,15.480938,5.2789636,5.467201
35.634235,15.866084,5.28496,5.4670014
36.557095,16.251114,5.290955,5.4668016
37.47999,16.636055,5.296951,5.466602
38.402905,17.020939,5.302946,5.4664016
39.325836,17.405794,5.308942,5.466202
40.248768,17.790646,5.314937,5.466002
41.171688,18.175524,5.320932,5.465802
42.094585,18.560457,5.3269267,5.4656024
43.01745,18.945477,5.3329215,5.4654026
43.94026,19.33061,5.3389163,5.465203
44.863018,19.715885,5.344911,5.465003
45.7857,20.101332,5.3509054,5.464803
46.7083,20.486977,5.3568993,5.4646034
47.63081,20.872847,5.3628936,5.4644036
48.553207,21.258968,5.3688874,5.464204
49.475494,21.64537,5.3748813,5.464004
50.397648,22.03208,5.3808746,5.4638042
51.31966,22.419128,5.3868685,5.4636045
52.241516,22.806553,5.392862,5.4634047
53.163197,23.194387,5.398855,5.463205
54.084694,23.582663,5.4048486,5.463005
55.00599,23.971413,5.4106464,5.4628053
55.927082,24.360643,5.4164395,5.4626055
56.847973,24.750362,5.422232,5.4624057
57.76865,25.140568,5.4280252,5.462206
58.68912,25.53127,5.4338183,5.462006
59.609386,25.922455,5.439804,5.462
60.52947,26.314072,5.4457965,5.462
61.449398,26.706043,5.4517884,5.462
62.369205,27.098305,5.457781,5.462
63.28892,27.490782,5.463773,5.462
64.20857,27.883406,5.469765,5.4618077
65.12819,28.276117,5.4757576,5.461608
66.04779,28.668858,5.4817495,5.461408
66.96741,29.061567,5.487742,5.461209
67.88706,29.454185,5.493734,5.461009
68.80678,29.846657,5.5001087,5.4638634
69.726585,30.238918,5.506501,5.46686
70.64651,30.630907,5.512893,5.4698563
71.566574,31.022562,5.5192857,5.4728527
72.48681,31.413822,5.525678,5.475849
73.407234,31.804623,5.534918,5.5065484
74.32789,32.194904,5.544308,5.538716
75.24878,32.584602,5.553699,5.5708838
76.169945,32.97366,5.56309,5.6030517
77.091415,33.36201,5.57248,5.6352196
78.0132,33.7496,5.5816846,5.6672072
78.93533,34.13636,5.590878,5.699184
79.85784,34.52223,5.6000714,5.7311606
80.78075,34.907146,5.6092644,5.763138
81.70407,35.29105,5.618458,5.7951145
82.627846,35.673878,5.6278424,5.8272896
83.552086,36.055565,5.6372385,5.859477
84.47683,36.43605,5.646635,5.8916645
85.402084,36.81527,5.656031,5.923852
86.32789,37.193165,5.6654277,5.9560394
87.25426,37.569668,5.674827,5.988238
88.18122,37.944717,5.684227,6.0204372
89.10879,38.31825,5.693627,6.0526366
90.036995,38.6902,5.703027,6.0848355
90.96586,39.06051,5.712426,6.117035
91.89539,39.42911,5.712249,6.135907
92.82564,39.79594,5.711448,6.153913
93.7566,40.16093,5.710648,6.1719193
94.68831,40.524025,5.709848,6.189925
95.62078,40.88515,5.7090473,6.207931
96.55403,41.24425,5.680198,6.1865983
97.48809,41.601257,5.6495786,6.162783
98.422966,41.956104,5.618959,6.138968
