# x_m,y_m,w_tr_right_m,w_tr_left_m
-2.447973,0.125932,6.187,6.476
-3.2192304,0.7622748,6.1876,6.4748
-3.9905052,1.3985966,6.1882,6.4736004
-4.761797,2.034898,6.1888,6.4724
-5.533105,2.6711798,6.1893997,6.4712005
-6.304429,3.3074417,6.1899996,6.4700003
-7.0757685,3.943685,6.1903996,6.4690003
-7.8471236,4.57991,6.1907997,6.4680004
-8.618493,5.216117,6.1912,6.4670005
-9.389877,5.8523064,6.1916,6.4660006
-10.161275,6.4884787,6.192,6.4650006
-10.932687,7.1246347,6.1925993,6.4640007
-11.704111,7.7607746,6.1931996,6.463001
-12.475549,8.396899,6.1937995,6.462001
-13.246999,9.033009,6.1943994,6.461001
-14.018461,9.669104,6.194999,6.460001
-14.789935,10.305184,6.195599,6.459001
-15.5614195,10.941252,6.1961994,6.458001
-16.332914,11.577306,6.1967993,6.457001
-17.10442,12.213347,6.197399,6.4560013
-17.875937,12.849378,6.197999,6.4550014
-18.64746,13.485396,6.1983995,6.4540014
-19.418995,14.121404,6.198799,6.4530015
-20.190538,14.7574005,6.199199,6.4520016
-20.96209,15.393387,6.1995993,6.4510016
-21.733648,16.029364,6.1999993,6.4500017
-22.505215,16.66533,6.2005987,6.4488025
-23.276789,17.30129,6.2011986,6.4476023
-24.04837,17.937243,6.201799,6.4464025
-24.819956,18.573185,6.202399,6.445203
-25.591549,19.209122,6.2029986,6.4440026
-26.363148,19.845053,6.2035985,6.443002
-27.13475,20.480976,6.2041984,6.4420023
-27.906357,21.116894,6.2047987,6.4410024
-28.677969,21.752808,6.2053986,6.4400024
-29.449585,22.388716,6.2059984,6.4390025
-30.221205,23.02462,6.206399,6.4380026
-30.992826,23.66052,6.206799,6.4370027
-31.76445,24.29642,6.207199,6.4360027
-32.536076,24.932314,6.2075987,6.435003
-33.307705,25.568207,6.2079988,6.434003
-34.079334,26.204098,6.208598,6.433003
-34.850967,26.839987,6.209198,6.432003
-35.622597,27.475876,6.2097983,6.431003
