# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.473164,0.749307,5.894,5.83
-1.0151459,-0.09097377,5.8929996,5.83
-1.5571196,-0.9312598,5.8919997,5.83
-2.0990853,-1.771551,5.891,5.83
-2.6410432,-2.6118472,5.8899994,5.83
-3.1829934,-3.4521484,5.8889995,5.83
-3.724936,-4.2924547,5.887999,5.8302
-4.266871,-5.1327653,5.886999,5.8304
-4.808799,-5.973081,5.8859987,5.8306003
-5.3507195,-6.8134017,5.884999,5.8308
-5.8926325,-7.6537266,5.883999,5.831
-6.434538,-8.494057,5.8829985,5.831
-6.9764366,-9.334391,5.8819985,5.831
-7.518328,-10.17473,5.880998,5.831
-8.060213,-11.015074,5.879998,5.831
-8.602091,-11.855421,5.8789983,5.8310003
-9.143962,-12.695773,5.878198,5.8312006
-9.685827,-13.53613,5.877398,5.8314004
-10.227685,-14.37649,5.876598,5.8316007
-10.769537,-15.216854,5.8757977,5.8318005
-11.311383,-16.057222,5.874997,5.832
-11.853223,-16.897596,5.873997,5.832
-12.395056,-17.737972,5.872997,5.832
-12.936884,-18.578352,5.871997,5.832
-13.478705,-19.418737,5.870997,5.832
-14.020521,-20.259125,5.8699965,5.832
-14.562331,-21.099516,5.8689966,5.832
-15.1041355,-21.93991,5.867996,5.832
-15.645935,-22.78031,5.8669963,5.832
-16.187729,-23.62071,5.865996,5.832
-16.729517,-24.461117,5.864996,5.8320007
-17.271301,-25.301525,5.8639956,5.832201
-17.81308,-26.141937,5.8629956,5.832401
-18.354853,-26.982353,5.8619957,5.832601
-18.896622,-27.822771,5.8609953,5.832801
-19.438385,-28.663193,5.8599963,5.833
-19.980145,-29.503616,5.859196,5.833
-20.5219,-30.344044,5.858396,5.833
-21.06365,-31.184473,5.857596,5.833
-21.605396,-32.024906,5.856796,5.833
-22.147139,-32.86534,5.8559947,5.833
-22.688875,-33.70578,5.8549943,5.833
-23.230608,-34.546223,5.8539944,5.833
-23.772339,-35.386665,5.852994,5.833
-24.314064,-36.22711,5.851994,5.833
-24.855785,-37.06756,5.8509936,5.833001
-25.397505,-37.90801,5.8499937,5.8332014
-25.939219,-38.748463,5.848994,5.833401
-26.48093,-39.588917,5.8479934,5.8336015
-27.022638,-40.429375,5.8469934,5.8338013
-27.564344,-41.269833,5.845993,5.834
-28.106045,-42.110294,5.844993,5.834
-28.647745,-42.95076,5.8439927,5.834
-29.18944,-43.791225,5.842993,5.834
-29.731133,-44.63169,5.8419924,5.834
-30.272823,-45.47216,5.840994,5.8340015
-30.81451,-46.31263,5.8401937,5.8342013
-31.356195,-47.153103,5.8393936,5.8344016
-31.897879,-47.993576,5.8385935,5.8346014
-32.43956,-48.834053,5.8377934,5.8348017
-32.981236,-49.67453,5.836992,5.835
-33.522915,-50.515007,5.835992,5.835
-34.064587,-51.355484,5.8349915,5.835
-34.60626,-52.195965,5.8339915,5.835
-35.14793,-53.036446,5.832991,5.835
-35.689598,-53.87693,5.831991,5.835
-36.231266,-54.717415,5.830991,5.835
-36.77293,-55.5579,5.829991,5.835
-37.314594,-56.398384,5.8289905,5.835
