# x_m,y_m,w_tr_right_m,w_tr_left_m
0.693929,-2.314857,6.405,6.679
0.2604023,-1.4137576,6.401403,6.6805987
-0.1728345,-0.51251864,6.397806,6.682197
-0.60578984,0.38885546,6.3942094,6.683796
-1.038472,1.2903607,6.3906126,6.6853943
-1.4708898,2.1919928,6.3870153,6.686993
-1.9030509,3.093748,6.3923717,6.683419
-2.3349621,3.9956229,6.397766,6.6798224
-2.76663,4.8976145,6.403161,6.6762257
-3.1980603,5.7997193,6.408556,6.6726294
-3.6292596,6.701935,6.413951,6.6690326
-4.060234,7.6042576,6.4191475,6.6656346
-4.490991,8.506684,6.424342,6.662238
-4.9215364,9.409212,6.429537,6.6588416
-5.351878,10.311837,6.4347315,6.6554446
-5.7820225,11.214557,6.439926,6.652048
-6.211976,12.117366,6.4453173,6.648455
-6.641746,13.020264,6.4507117,6.644859
-7.0713387,13.923244,6.4561057,6.641263
-7.500761,14.826307,6.4615,6.6376667
-7.93002,15.729447,6.466894,6.6340704
-8.359121,16.632664,6.4720926,6.6306705
-8.788073,17.53595,6.477287,6.627274
-9.216881,18.439304,6.482481,6.623878
-9.645553,19.342724,6.487675,6.6204815
-10.074094,20.246204,6.4928694,6.6170855
-10.502512,21.149744,6.4982586,6.6134944
-10.930814,22.053339,6.5036526,6.609898
-11.359006,22.956985,6.5090466,6.6063023
-11.787094,23.86068,6.5144405,6.6027064
-12.215087,24.764421,6.5198345,6.59911
-12.64299,25.668205,6.525035,6.595708
-13.070811,26.572027,6.5302296,6.5923114
-13.498555,27.475885,6.5354238,6.5889153
-13.92623,28.379778,6.540618,6.585519
-14.353843,29.283699,6.545812,6.582123
-14.7814,30.187645,6.551007,6.5785336
-15.208908,31.091616,6.5562015,6.5749373
-15.6363735,31.995605,6.5613956,6.5713415
-16.063805,32.899612,6.5665903,6.567745
-16.491205,33.803635,6.571785,6.564149
-16.918585,34.707664,6.5771713,6.560744
-17.34595,35.611702,6.582566,6.5573473
-17.773306,36.515747,6.5879607,6.553951
-18.20066,37.41979,6.593355,6.5505543
-18.62802,38.32383,6.5987496,6.547158
-19.055391,39.227863,6.6039543,6.54357
-19.48278,40.13189,6.6091495,6.5399733
-19.910196,41.035904,6.6143446,6.5363765
-20.337643,41.939903,6.61954,6.53278
-20.76513,42.843884,6.6247354,6.5291834
-21.192661,43.747845,6.6301208,6.525776
-21.620245,44.65178,6.635516,6.5223784
-22.04789,45.555687,6.640912,6.5189815
-22.475597,46.45956,6.6463075,6.515584
-22.90338,47.3634,6.6517034,6.512187
-23.331242,48.267204,6.656911,6.5086
-23.75919,49.170967,6.6621075,6.5050025
-24.18723,50.074684,6.6673036,6.5014052
-24.61537,50.978355,6.6725,6.4978075
-25.043617,51.881977,6.6776967,6.4942102
-25.471977,52.785545,6.683082,6.4908004
-25.900457,53.689053,6.6884794,6.487402
-26.329065,54.592503,6.6938763,6.4840035
-26.757805,55.49589,6.6992736,6.4806056
-27.186686,56.39921,6.704671,6.477207
-27.615715,57.30246,6.709881,6.473621
-28.044895,58.20564,6.7150793,6.470022
-28.474237,59.108738,6.7202773,6.4664235
-28.903748,60.011757,6.7254753,6.462825
-29.333433,60.914696,6.7306733,6.459226
-29.763298,61.817547,6.73606,6.455814
-30.193352,62.72031,6.741459,6.4524145
-30.623602,63.62298,6.746858,6.449015
-31.054054,64.52555,6.7522573,6.445616
-31.484716,65.428024,6.757656,6.4422164
-31.915596,66.33039,6.762869,6.438629
-32.3467,67.23265,6.768069,6.4350295
-32.778034,68.1348,6.7732687,6.4314294
-33.20961,69.03684,6.778468,6.4278297
-33.641434,69.93876,6.783668,6.4242296
-34.073505,70.84055,6.789056,6.420817
-34.505844,71.742226,6.7944565,6.4174166
-34.938446,72.64377,6.7998567,6.4140162
-35.371326,73.54518,6.8052573,6.410616
-35.804485,74.44646,6.810658,6.4072156
-36.237938,75.34759,6.8158712,6.4036274
-36.671684,76.24858,6.821072,6.400027
-37.105736,77.14943,6.826273,6.396426
-37.5401,78.050125,6.831474,6.3928256
-37.97478,78.95067,6.8366747,6.389225
-38.409786,79.85105,6.841876,6.385812
-38.845127,80.75128,6.847077,6.3824115
-39.280807,81.651344,6.8522778,6.3790107
-39.71683,82.55123,6.857479,6.37561
-40.153214,83.45095,6.86268,6.372209
-40.589954,84.3505,6.8680687,6.368621
-41.027065,85.24986,6.87347,6.3650203
-41.464554,86.14905,6.878871,6.361419
-41.90242,87.04805,6.884272,6.3578186
-42.34068,87.94685,6.889673,6.354218
-42.779335,88.84547,6.894886,6.3508053
-43.218395,89.74388,6.900087,6.347405
-43.657867,90.6421,6.9052877,6.344004
-44.09776,91.54011,6.9104886,6.340604
-44.538074,92.43791,6.915689,6.337203
-44.97882,93.3355,6.9182568,6.3349314
-45.42001,94.23287,6.9206567,6.3327312
-45.86164,95.13003,6.923057,6.330531
-46.30373,96.02696,6.925457,6.328331
-46.746277,96.92366,6.9278574,6.326131
-47.189293,97.82014,6.922545,6.3271284
-47.632786,98.71637,6.9167457,6.3283286
-48.076756,99.61237,6.910946,6.3295283
-48.521217,100.508125,6.905146,6.3307285
-48.966175,101.40364,6.8993464,6.3319283
-49.411636,102.2989,6.893736,6.333316
-49.857605,103.19391,6.8881373,6.334716
-50.304092,104.08865,6.882539,6.3361154
-50.751102,104.98314,6.8769403,6.337515
-51.198643,105.877365,6.871341,6.338915
-51.64672,106.77132,6.8655562,6.3401265
-52.09534,107.66499,6.859759,6.3413258
-52.544514,108.558395,6.8539615,6.342525
-52.994247,109.45152,6.8481646,6.3437247
-53.444542,110.34436,6.842367,6.344924
-53.895412,111.23691,6.836571,6.34631
-54.34686,112.129166,6.8307757,6.347709
-54.798893,113.021126,6.82498,6.349108
-55.25152,113.91278,6.8191843,6.3505073
-55.704742,114.80414,6.813389,6.3519063
-56.15857,115.69518,6.807781,6.3531184
-56.61301,116.58592,6.802187,6.354317
-57.068073,117.47633,6.796593,6.355516
-57.52376,118.36643,6.790999,6.3567142
-57.980083,119.25621,6.785405,6.357913
-58.43705,120.14565,6.779628,6.359297
-58.89466,121.03476,6.773836,6.360695
-59.352924,121.92354,6.7680445,6.3620925
-59.81184,122.81197,6.762253,6.3634906
-60.27142,123.700066,6.756461,6.3648887
-60.73166,124.58782,6.7508554,6.366102
-61.192547,125.475235,6.745266,6.3673
-61.654057,126.36233,6.7396765,6.368498
-62.116165,127.24911,6.7340865,6.3696957
-62.578857,128.13559,6.728497,6.3708935
-63.042103,129.02177,6.7227273,6.372273
-63.505886,129.90768,6.7169394,6.3736696
-63.970184,130.79332,6.711152,6.3750668
-64.43498,131.6787,6.7053647,6.376464
-64.90025,132.56383,6.699577,6.3778605
-65.36598,133.44872,6.6937904,6.379078
-65.83214,134.33336,6.688004,6.380275
-66.29871,135.2178,6.6822176,6.381472
-66.765686,136.10204,6.6764317,6.3826694
-67.23303,136.98607,6.670645,6.3838663
-67.70072,137.86992,6.665036,6.385241
-68.168755,138.75359,6.65945,6.3866377
-68.63709,139.6371,6.6538634,6.3880343
-69.10573,140.52045,6.6482773,6.3894305
-69.57463,141.40366,6.6426907,6.390827
-70.043785,142.28673,6.636929,6.3920493
-70.513176,143.16968,6.631143,6.393246
-70.98277,144.05252,6.6253567,6.3944435
-71.45256,144.93526,6.6195707,6.3956404
-71.922516,145.8179,6.6137843,6.3968377
-72.392624,146.70047,6.6081696,6.3982077
-72.86286,147.58296,6.602582,6.3996043
-73.33321,148.46541,6.5969944,6.4010015
-73.80365,149.3478,6.591407,6.402398
-74.274155,150.23015,6.5858192,6.4037952
-74.744705,151.11247,6.5800595,6.405022
-75.21529,151.9948,6.5742707,6.40622
-75.68588,152.8771,6.568482,6.4074173
-76.156456,153.75941,6.562693,6.408615
-76.62701,154.64175,6.556904,6.409813
-77.097496,155.52411,6.551113,6.4111795
-77.56792,156.40651,6.5453215,6.4125776
-78.038246,157.28896,6.5395303,6.4139752
-78.50846,158.17148,6.533739,6.4153733
-78.97854,159.05406,6.5279474,6.4167714
-79.44846,159.93672,6.5223207,6.4180026
-79.91821,160.81947,6.516726,6.4192014
-80.387764,161.70233,6.5111313,6.4204006
-80.85711,162.58531,6.5055366,6.4215994
-81.32621,163.46841,6.499942,6.422798
-81.79506,164.35165,6.4941773,6.4241643
-82.263626,165.23503,6.488379,6.425564
-82.731895,166.11858,6.4825807,6.4269633
-83.19985,167.00229,6.476782,6.428363
-83.667465,167.88618,6.4709835,6.429763
-84.13472,168.77026,6.4651814,6.430997
-84.60159,169.65454,6.459378,6.4321976
-85.06807,170.53903,6.4535747,6.4333982
-85.53412,171.42375,6.4477715,6.434599
-85.99973,172.3087,6.4419684,6.4357996
-86.464874,173.1939,6.436328,6.437168
-86.929535,174.07935,6.43072,6.43857
-87.39369,174.96506,6.425112,6.439972
-87.85732,175.85104,6.4195037,6.4413743
-88.3204,176.73732,6.413895,6.442776
-88.782906,177.62389,6.408114,6.4440107
-89.24482,178.51077,6.4022994,6.445214
-89.70612,179.39796,6.396485,6.446417
-90.16681,180.28549,6.3906703,6.44762
-90.62684,181.17336,6.3848557,6.448823
-91.086205,182.06155,6.379207,6.450198
-91.544876,182.95012,6.3735867,6.4516034
-92.00282,183.83907,6.367966,6.4530087
-92.46001,184.7284,6.3623457,6.4544134
-92.9164,185.61813,6.3567257,6.4558187
-93.37197,186.50829,6.3509245,6.4570503
-93.82677,187.39883,6.3450966,6.458256
-94.28084,188.28976,6.3392687,6.4594617
