# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.029054,-0.000499,7.621,7.679
-0.008829508,-1.0001241,7.621,7.679
0.01140211,-1.9997491,7.621,7.679
0.031640735,-2.999374,7.621,7.679
0.051886242,-3.9989984,7.621,7.679
0.07213852,-4.998623,7.621,7.679
0.09239743,-5.998247,7.621,7.679
0.11266287,-6.9978714,7.621,7.679
0.13293469,-7.9974957,7.621,7.679
0.15321279,-8.99712,7.621,7.679
0.17349702,-9.996743,7.621,7.679
0.19378728,-10.996367,7.621,7.679
0.21408346,-11.995991,7.621,7.679
0.23438546,-12.995614,7.621,7.679
0.25469318,-13.995238,7.621,7.679
0.27500653,-14.994862,7.621,7.679
0.29532543,-15.994484,7.621,7.679
0.31564975,-16.994108,7.621,7.679
0.33597937,-17.99373,7.621,7.679
0.35631418,-18.993353,7.621,7.679
0.37665403,-19.992975,7.621,7.679
0.39699888,-20.992598,7.621,7.679
0.41734856,-21.992222,7.621,7.679
0.43770295,-22.991844,7.621,7.679
0.458062,-23.991467,7.621,7.679
0.47842553,-24.991089,7.6210017,7.6789985
0.49879348,-25.990711,7.6212015,7.678798
0.5191657,-26.990332,7.621402,7.6785984
0.53954214,-27.989954,7.621602,7.678398
0.5599226,-28.989576,7.621802,7.678198
0.580307,-29.989199,7.622,7.678
0.6006953,-30.98882,7.622,7.678
0.6210873,-31.988441,7.622,7.678
0.6414829,-32.988064,7.622,7.678
0.661882,-33.987686,7.622,7.678
0.6822845,-34.987305,7.622,7.678
0.70269024,-35.986927,7.622,7.678
0.7230992,-36.98655,7.622,7.678
0.74351114,-37.98617,7.622,7.678
0.76392615,-38.98579,7.622,7.678
0.784344,-39.985413,7.622,7.678
0.8047646,-40.985035,7.622,7.678
0.8251879,-41.984653,7.622,7.678
0.8456138,-42.984276,7.622,7.678
0.86604196,-43.9839,7.622,7.678
0.88647246,-44.983517,7.622,7.678
0.90690506,-45.98314,7.622,7.678
0.92733973,-46.982758,7.622,7.678
0.9477763,-47.98238,7.622,7.678
0.96821475,-48.982002,7.622,7.678
0.988655,-49.98162,7.622,7.678
1.0090969,-50.981243,7.622,7.678
1.0295402,-51.98086,7.622,7.678
1.049985,-52.980484,7.622,7.678
1.0704311,-53.980103,7.622,7.678
1.0908785,-54.979725,7.622,7.678
1.1113268,-55.979343,7.622,7.678
1.1317762,-56.978966,7.622,7.678
1.1522264,-57.978584,7.622,7.678
1.1726774,-58.978207,7.622,7.678
1.193129,-59.977825,7.622,7.678
1.2135811,-60.977448,7.622,7.678
1.2340336,-61.977066,7.622,7.678
1.2544864,-62.97669,7.622,7.678
1.2749394,-63.976307,7.622,7.678
1.2953925,-64.97593,7.622,7.678
1.3158455,-65.97555,7.622,7.678
1.3362983,-66.97517,7.622,7.678
1.356751,-67.97479,7.622,7.678
1.3772032,-68.97441,7.622,7.678
1.397655,-69.97403,7.622,7.678
1.4181063,-70.97365,7.622,7.678
1.4385569,-71.973274,7.622,7.678
1.4590068,-72.97289,7.622,7.678
1.4794557,-73.97251,7.622,7.678
1.4999036,-74.97213,7.622,7.678
1.5203502,-75.971756,7.622,7.678
1.5407957,-76.971375,7.622,7.678
1.5612397,-77.97099,7.622,7.678
1.5816822,-78.97062,7.622,7.678
1.602123,-79.97024,7.6220055,7.6779947
1.6225622,-80.96986,7.6222053,7.6777945
1.6429995,-81.969475,7.6224055,7.6775947
1.6634349,-82.9691,7.6226053,7.6773944
1.6838683,-83.96872,7.6228056,7.6771946
1.7042997,-84.96834,7.623,7.677
1.7247288,-85.967964,7.623,7.677
1.7451557,-86.96758,7.623,7.677
1.7655802,-87.9672,7.623,7.677
1.786002,-88.96683,7.623,7.677
1.8064212,-89.966446,7.623,7.677
1.8268374,-90.966064,7.623,7.677
1.8472507,-91.96569,7.623,7.677
1.867661,-92.96531,7.623,7.677
1.8880681,-93.96493,7.623,7.677
1.9084718,-94.964554,7.623,7.677
1.9288723,-95.96417,7.623,7.677
1.9492693,-96.9638,7.623,7.677
1.9696628,-97.96342,7.623,7.677
1.9900525,-98.963036,7.623,7.677
2.0104384,-99.96266,7.623,7.677
2.0308204,-100.96228,7.623,7.677
2.0511985,-101.96191,7.623,7.677
2.0715723,-102.961525,7.623,7.677
2.0919418,-103.96115,7.623,7.677
2.112307,-104.96077,7.623,7.677
2.1326678,-105.960396,7.623,7.677
2.153024,-106.960014,7.623,7.677
2.1733754,-107.95964,7.623,7.677
2.193722,-108.95926,7.623,7.677
2.214064,-109.958885,7.623,7.677
2.2344005,-110.9585,7.623,7.677
2.2547321,-111.95813,7.623,7.677
2.2750587,-112.95775,7.623,7.677
2.2953799,-113.957375,7.623,7.677
2.3156955,-114.957,7.623,7.677
2.3360057,-115.95662,7.623,7.677
2.3563101,-116.956245,7.623,7.677
2.3766088,-117.95587,7.623,7.677
2.3969014,-118.95549,7.623,7.677
2.4171882,-119.95512,7.623,7.677
2.4374688,-120.95474,7.623,7.677
2.457743,-121.95436,7.623,7.677
2.4780107,-122.95399,7.623,7.677
2.4982722,-123.95361,7.623,7.677
2.518527,-124.95324,7.623,7.677
2.538775,-125.95286,7.623,7.677
2.5590165,-126.952484,7.623,7.677
2.5792508,-127.95211,7.623,7.677
2.5994782,-128.95174,7.623,7.677
2.6196988,-129.95135,7.6230087,7.6769915
2.639912,-130.95099,7.6232085,7.676791
2.6601176,-131.9506,7.623409,7.6765914
2.6803157,-132.95024,7.623609,7.676391
