# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.961068,-1.262557,6.341,6.293
-1.6811832,-0.56883466,6.343599,6.2955985
-2.4012876,0.12489896,6.3461976,6.2981973
-3.121381,0.8186439,6.348796,6.300796
-3.8414636,1.5124003,6.3513947,6.303395
-4.5615354,2.206168,6.3539934,6.3059936
-5.281596,2.8999467,6.356592,6.3085923
-6.001646,3.5937366,6.359191,6.3111906
-6.721686,4.2875376,6.3617897,6.3137894
-7.4417152,4.981349,6.364388,6.316388
-8.161735,5.675171,6.3669868,6.318987
-8.881744,6.369003,6.3695855,6.321585
-9.601745,7.0628443,6.372184,6.324184
-10.321735,7.756696,6.3747826,6.3267827
-11.041717,8.450557,6.3773813,6.3293815
-11.761689,9.144427,6.37998,6.3319798
-12.481653,9.838306,6.3825784,6.3345785
-13.201609,10.532195,6.385177,6.337177
-13.9215555,11.226092,6.3877754,6.3397756
-14.641494,11.919997,6.390374,6.3423743
-15.361425,12.613912,6.392973,6.3449726
-16.081348,13.307833,6.395571,6.3475714
-16.801264,14.001762,6.39817,6.3501697
-17.521172,14.6957,6.4007683,6.3527684
-18.241074,15.389645,6.403367,6.3553667
-18.960966,16.083597,6.4059653,6.3579655
-19.680855,16.777555,6.408564,6.3605638
-20.400736,17.471521,6.4111624,6.3631625
-21.12061,18.165493,6.4137607,6.365761
-21.840477,18.859472,6.4163594,6.3683596
-22.56034,19.553457,6.4189577,6.370958
-23.280197,20.247448,6.4215565,6.373556
-24.000048,20.941444,6.4241548,6.376155
-24.719893,21.635447,6.426753,6.378753
-25.439734,22.329453,6.429352,6.381352
-26.159569,23.023466,6.43195,6.38395
-26.8794,23.717484,6.434549,6.3865485
-27.599226,24.411505,6.437147,6.3891473
-28.319048,25.105532,6.4397454,6.3917456
-29.038866,25.799562,6.4423437,6.394344
-29.75868,26.493597,6.4449425,6.3969426
-30.47849,27.187637,6.4475408,6.399541
-31.198298,27.88168,6.450139,6.402139
-31.9181,28.575726,6.452738,6.4047375
-32.6379,29.269773,6.455336,6.407336
-33.357697,29.963825,6.4579344,6.4099345
-34.07749,30.65788,6.4605327,6.412533
-34.797283,31.351938,6.4631314,6.415131
-35.517075,32.045998,6.4657297,6.4177294
-36.236862,32.740063,6.468328,6.420328
-36.956646,33.434124,6.4709263,6.4229264
-37.67643,34.128193,6.4735246,6.4253306
-38.396214,34.822258,6.476123,6.427729
-39.115993,35.516327,6.4787216,6.4301276
-39.835773,36.2104,6.48132,6.432526
-40.555553,36.90447,6.483918,6.4349246
-41.275333,37.59854,6.4865165,6.4375167
-41.99511,38.292614,6.4891148,6.440115
-42.71489,38.986687,6.491713,6.4427133
-43.434666,39.68076,6.4943113,6.4453115
-44.154446,40.374832,6.49691,6.44791
-44.87422,41.068905,6.4995084,6.450508
-45.594,41.762974,6.5021067,6.4531064
-46.313778,42.457047,6.504705,6.4557047
-47.033558,43.151115,6.507303,6.458303
-47.75334,43.845184,6.5099015,6.4609017
-48.47312,44.539253,6.5125,6.4635
-49.19291,45.23332,6.515098,6.4660983
-49.912693,45.927383,6.5176964,6.4686966
-50.63248,46.621445,6.5202947,6.471295
-51.352272,47.315506,6.522893,6.473893
-52.072063,48.009563,6.525491,6.4764915
-52.79186,48.703617,6.5280895,6.4790897
-53.511654,49.39767,6.530688,6.481688
-54.231453,50.09172,6.533286,6.4842863
-54.951256,50.785767,6.5358844,6.4868846
-55.671066,51.47981,6.5384827,6.489483
-56.390873,52.173847,6.541081,6.492081
-57.110687,52.86788,6.5436797,6.4946795
-57.830505,53.561913,6.546278,6.4972777
-58.550327,54.25594,6.5488763,6.499876
-59.270157,54.949963,6.5514746,6.5024743
-59.989986,55.64398,6.554073,6.5050726
-60.70982,56.33799,6.556671,6.507671
-61.42966,57.031998,6.5592694,6.510269
-62.14951,57.726,6.5618677,6.5128675
-62.869358,58.42,6.564466,6.5154657
-63.589214,59.113987,6.5670643,6.518064
-64.309074,59.807972,6.5696626,6.5206623
-65.028946,60.50195,6.572261,6.5232606
-65.74882,61.195923,6.574859,6.525859
-66.468704,61.88989,6.5774574,6.528457
-67.18859,62.583847,6.5800557,6.5310555
-67.908485,63.2778,6.582654,6.5336537
-68.62838,63.971745,6.5852523,6.536252
-69.34829,64.66568,6.5878506,6.5388503
-70.06821,65.35961,6.590449,6.5414486
-70.78813,66.053535,6.593047,6.544047
-71.508064,66.747444,6.5956454,6.546645
-72.228,67.44135,6.5982437,6.5492435
-72.947945,68.13525,6.600842,6.5518417
-73.6679,68.82914,6.6034403,6.55444
-74.38786,69.52302,6.6060386,6.5570383
-75.10784,70.21689,6.608637,6.5596366
-75.82782,70.91075,6.611235,6.562235
-76.54781,71.6046,6.6138334,6.564833
-77.267815,72.29844,6.6164317,6.5674314
-77.98782,72.99227,6.61903,6.5700297
-78.70784,73.6861,6.6216283,6.5726285
-79.42787,74.379906,6.6242266,6.575227
-80.14791,75.07371,6.626825,6.577825
-80.86796,75.767494,6.629423,6.5804234
-81.58802,76.46127,6.6320214,6.5830216
