# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.90864,3.238718,7.1,6.591
-0.91965514,3.0917785,7.1031976,6.591
0.069352806,2.9449944,7.1063957,6.591
1.0583836,2.7983642,7.1095934,6.591
2.047437,2.6518867,7.112791,6.591
3.0365129,2.5055606,7.115989,6.591
4.025611,2.3593848,7.119386,6.591
5.014731,2.2133577,7.1227837,6.591
6.0038724,2.0674782,7.126181,6.591
6.993036,1.9217445,7.129579,6.591
7.9822206,1.7761555,7.1329765,6.591
8.971426,1.6307099,7.1324043,6.591397
9.960652,1.4854063,7.131805,6.591797
10.9499,1.3402433,7.1312056,6.5921965
11.939167,1.1952198,7.1306057,6.592596
12.928455,1.0503342,7.1300063,6.5929956
13.917763,0.9055854,7.1296043,6.5933957
14.907091,0.76097196,7.1292048,6.5937953
15.896439,0.6164925,7.128805,6.594195
16.885805,0.47214574,7.128405,6.594595
17.87519,0.32793018,7.1280055,6.5949945
18.864595,0.18384454,7.127606,6.595394
19.85402,0.039887495,7.127206,6.5957937
20.84346,-0.10394227,7.1268063,6.596194
21.83292,-0.24764605,7.1264067,6.5965934
22.8224,-0.39122516,7.126007,6.596993
23.811895,-0.5346809,7.1254106,6.597393
24.801409,-0.67801464,7.124811,6.5977926
25.790941,-0.8212277,7.124212,6.598192
26.780489,-0.9643215,7.123612,6.598592
27.770054,-1.1072974,7.1230125,6.598992
28.759638,-1.2501568,7.1226087,6.5993915
29.749237,-1.392901,7.122209,6.599791
30.738852,-1.5355312,7.121809,6.6001906
31.728483,-1.6780488,7.1214094,6.6005907
32.718132,-1.8204552,7.12101,6.6009903
33.707794,-1.9627517,7.1206098,6.601195
34.697475,-2.1049397,7.12021,6.6013947
35.68717,-2.2470205,7.1198106,6.601595
36.67688,-2.3889952,7.119411,6.6017947
37.666603,-2.5308654,7.119011,6.6019945
38.65634,-2.6726322,7.1186113,6.602389
39.646095,-2.8142972,7.1182117,6.6027884
40.635864,-2.9558616,7.117812,6.603188
41.62565,-3.097327,7.117412,6.6035876
42.615444,-3.2386944,7.1170125,6.6039877
43.605255,-3.3799655,7.1164193,6.6043873
44.59508,-3.5211418,7.1158195,6.604787
45.584915,-3.662224,7.11522,6.6051865
46.574768,-3.8032138,7.11462,6.6055865
47.564632,-3.9441123,7.114021,6.605986
48.55451,-4.084921,7.113614,6.6063857
49.544395,-4.225641,7.1132145,6.6067853
50.534298,-4.366274,7.112815,6.6071854
51.52421,-4.506821,7.112415,6.607585
52.514137,-4.6472836,7.1120152,6.6079845
53.504074,-4.7876635,7.1116157,6.6083846
54.494022,-4.9279613,7.111216,6.608784
55.483982,-5.068179,7.110816,6.609184
56.473953,-5.2083178,7.1104164,6.6095834
57.463936,-5.348378,7.110017,6.6099834
58.45393,-5.488363,7.109617,6.610383
59.443935,-5.628272,7.109217,6.6107826
60.43395,-5.7681074,7.1088176,6.611182
61.423973,-5.9078703,7.108418,6.6115823
62.41401,-6.0475626,7.1080184,6.611982
