# x_m,y_m,w_tr_right_m,w_tr_left_m
0.123414,-0.739252,5.388,5.699
0.34421468,-1.7143933,5.380797,5.6929975
0.56497085,-2.6895447,5.373594,5.686995
0.7856918,-3.6647038,5.366391,5.6809926
1.0063868,-4.639869,5.359188,5.67499
1.2270648,-5.615038,5.351984,5.6689863
1.4477216,-6.590212,5.3443804,5.662383
1.6682979,-7.565404,5.3367767,5.65578
1.888721,-8.54063,5.329173,5.6491766
2.1089184,-9.515908,5.321569,5.6425734
2.3288171,-10.491253,5.3139653,5.63597
2.54834,-11.466683,5.3063607,5.629366
2.7673912,-12.442219,5.2987566,5.622762
2.9858704,-13.417883,5.291152,5.616158
3.203677,-14.393697,5.2835474,5.6095543
3.4207108,-15.369683,5.275943,5.6029506
3.6368725,-16.345863,5.2683377,5.596346
3.8520672,-17.322258,5.260732,5.589741
4.0662007,-18.298883,5.253127,5.5831366
4.27918,-19.275763,5.245522,5.5765324
4.490911,-20.252914,5.2379165,5.5699277
4.7012987,-21.230354,5.230311,5.5633225
4.9102483,-22.208103,5.2227054,5.556718
5.117664,-23.18618,5.2150993,5.5501127
5.3234487,-24.1646,5.207494,5.5435076
5.527507,-25.143381,5.1998878,5.5369024
5.729743,-26.122541,5.192282,5.5302978
5.93006,-27.102095,5.1846766,5.5236926
6.128362,-28.082058,5.1770706,5.517088
6.3245535,-29.062447,5.169465,5.510483
6.518537,-30.043276,5.1618595,5.503878
6.710217,-31.024555,5.154255,5.497274
6.8994975,-32.0063,5.1466503,5.49067
7.086284,-32.988525,5.1390457,5.484066
7.2704816,-33.971237,5.1314416,5.4774623
7.4519944,-34.954453,5.124099,5.4709916
7.630726,-35.93817,5.1287,5.4705915
7.806577,-36.922413,5.133301,5.4701915
7.979448,-37.90718,5.1379013,5.469791
8.149238,-38.892487,5.1425023,5.469391
8.315846,-39.87833,5.1471887,5.469036
8.479194,-40.864723,5.1555853,5.4706354
8.639274,-41.851654,5.1639814,5.4722347
8.7961,-42.839104,5.1723776,5.473834
8.949684,-43.82706,5.180774,5.4754333
9.100039,-44.815517,5.189174,5.4770327
9.247178,-45.80446,5.1977654,5.478631
9.39112,-46.79387,5.2063565,5.4802294
9.531881,-47.783737,5.2149477,5.4818273
