# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.320123,1.087714,5.739,5.932
-0.22237763,2.0828722,5.7381997,5.9314
-0.124653704,3.0780323,5.7373996,5.9307995
-0.02695088,4.0731945,5.7365994,5.9301996
0.07073121,5.068359,5.7357993,5.9295993
0.16839293,6.063525,5.7349987,5.9289994
0.26603463,7.0586934,5.7341986,5.928399
0.3636566,8.053864,5.7333984,5.9277987
0.46125922,9.049036,5.7325983,5.927199
0.5588427,10.0442095,5.731798,5.9265985
0.6564075,11.039386,5.7309976,5.925998
0.75395375,12.034563,5.7301974,5.9253983
0.8514819,13.029743,5.7293973,5.924798
0.9489923,14.024924,5.728597,5.9241977
1.0464853,15.020106,5.727797,5.923598
1.1439613,16.015291,5.7269964,5.9229975
1.2414205,17.010477,5.7261963,5.922397
1.3388635,18.005665,5.725396,5.9217973
1.4362903,19.000854,5.724596,5.921197
1.5337014,19.996046,5.7237954,5.9205966
1.6310972,20.991238,5.7229953,5.9199967
1.7284778,21.986431,5.722195,5.9193964
1.8258437,22.981627,5.721395,5.918796
1.9231951,23.976824,5.7205944,5.9181957
2.0205324,24.972021,5.7197943,5.917596
2.1178558,25.96722,5.718994,5.9169955
2.2151656,26.962421,5.718194,5.916395
2.3124626,27.957624,5.7173934,5.9157953
2.4097466,28.952827,5.7165933,5.915195
2.5070183,29.948032,5.715793,5.9145947
2.604278,30.943237,5.714993,5.913995
2.701526,31.938444,5.7141924,5.9133945
2.7987626,32.93365,5.7133923,5.912794
2.8959882,33.92886,5.712592,5.912194
2.993203,34.924072,5.7117915,5.911594
3.0904074,35.91928,5.7109914,5.9109936
3.1876016,36.914494,5.7101912,5.910393
3.284786,37.909706,5.7093906,5.909793
3.3819609,38.904922,5.7085905,5.909193
3.4791267,39.900135,5.7077904,5.9085927
3.576284,40.89535,5.70699,5.9079924
3.6734326,41.890568,5.7061896,5.9073925
3.7705731,42.885788,5.7053895,5.906792
3.867706,43.881004,5.704589,5.906192
3.9648316,44.876225,5.7037888,5.9055915
4.06195,45.87144,5.7029915,5.9049916
4.159062,46.86666,5.702391,5.9043913
4.2561674,47.861885,5.701791,5.903791
4.3532662,48.857105,5.701191,5.9031906
4.45036,49.852325,5.7005906,5.9025903
4.5474477,50.84755,5.699987,5.9019904
4.6445303,51.842773,5.699187,5.90139
4.7416086,52.837994,5.698386,5.9007897
4.8386817,53.833218,5.697586,5.9001894
4.935751,54.828445,5.696786,5.8995895
5.032817,55.82367,5.6959853,5.898989
5.129879,56.818893,5.695185,5.898389
5.2269382,57.814117,5.694385,5.8977885
5.3239946,58.809345,5.6935844,5.897188
5.4210486,59.80457,5.6927843,5.8965883
5.5181007,60.799797,5.6919837,5.895988
5.615151,61.79502,5.6911836,5.8953876
5.7121997,62.79025,5.6903834,5.8947873
5.8092475,63.785473,5.689583,5.8941875
5.9062943,64.7807,5.6887827,5.893587
6.0033407,65.775925,5.6879826,5.892987
6.100387,66.77116,5.687182,5.8923864
6.1974335,67.76638,5.686382,5.891786
6.294481,68.761604,5.685581,5.891186
6.3915286,69.756836,5.684781,5.890586
6.488578,70.75206,5.683981,5.8899856
6.585629,71.747284,5.6831803,5.889385
6.6826816,72.74251,5.68238,5.888785
6.779737,73.73774,5.6815796,5.888185
6.8767943,74.73296,5.6807795,5.8875847
6.9738545,75.72819,5.679979,5.8869843
7.0709186,76.72341,5.6791787,5.886384
7.1679854,77.718636,5.6783786,5.8857837
7.2650566,78.71386,5.677578,5.8851833
7.3621316,79.70908,5.676778,5.8845835
7.4592113,80.70431,5.675977,5.883983
7.5562963,81.69953,5.675177,5.883383
7.653386,82.694756,5.674377,5.8827825
7.750482,83.68997,5.6735764,5.882182
7.8475833,84.685196,5.672776,5.8815823
7.944691,85.68042,5.6719756,5.880982
8.041805,86.67564,5.6711755,5.8803816
8.1389265,87.67085,5.670375,5.8797812
8.236055,88.66608,5.6695747,5.879181
8.333192,89.66129,5.668774,5.8785806
8.430336,90.65651,5.667974,5.8779807
8.527488,91.651726,5.667174,5.8773804
8.624649,92.64694,5.6663733,5.87678
8.721818,93.64216,5.665573,5.8761797
8.818997,94.63737,5.6647725,5.8755794
8.916185,95.63258,5.6639724,5.874979
9.013384,96.62779,5.663172,5.874379
9.110592,97.623,5.6623716,5.873779
9.20781,98.61821,5.661571,5.8731785
9.30504,99.61342,5.660771,5.872578
9.402281,100.60863,5.6599708,5.871978
9.499534,101.603836,5.65917,5.8713775
9.596799,102.59904,5.65837,5.8707776
9.694076,103.594246,5.6575694,5.8701773
9.791365,104.58945,5.6567693,5.869577
9.888667,105.58465,5.6559687,5.8689766
9.985983,106.57985,5.6551685,5.8683763
10.083312,107.57505,5.654368,5.867776
10.180655,108.570244,5.653568,5.8671756
10.278012,109.565445,5.652767,5.8665757
10.375383,110.56064,5.651967,5.8659754
10.472771,111.55583,5.651167,5.865375
10.570172,112.551025,5.6503663,5.8647747
10.667589,113.54621,5.649566,5.8641744
10.765022,114.5414,5.6487656,5.863574
10.862472,115.53659,5.6479654,5.862974
10.959938,116.53178,5.647165,5.862374
11.057422,117.526955,5.6463647,5.8617735
11.154922,118.52214,5.645564,5.861173
11.2524395,119.51732,5.644764,5.860573
11.349976,120.5125,5.6439633,5.8599815
11.447529,121.507675,5.643163,5.8595815
11.545101,122.50285,5.6423626,5.8591814
11.642693,123.498024,5.6415625,5.8587813
11.740303,124.493195,5.6407623,5.8583813
11.837933,125.488365,5.6399617,5.857971
11.935583,126.483536,5.6391616,5.857371
12.033253,127.4787,5.638361,5.856771
12.130943,128.47386,5.637561,5.8561707
12.228655,129.46902,5.63676,5.8555703
12.326388,130.46419,5.63596,5.85497
12.424143,131.45934,5.6351595,5.8543696
12.521918,132.4545,5.6343594,5.8537693
12.619717,133.44965,5.6335588,5.853169
12.717538,134.4448,5.6327586,5.852569
12.815382,135.43994,5.631958,5.851969
12.913249,136.43509,5.631158,5.8513684
13.01114,137.43024,5.6303573,5.850768
13.109054,138.42538,5.629557,5.8501678
13.206993,139.42052,5.628757,5.8495674
13.304956,140.41565,5.6279564,5.8489676
13.402945,141.41078,5.6271563,5.848367
13.5009575,142.40591,5.6263556,5.847767
13.598996,143.40105,5.6255555,5.8471665
13.697062,144.39618,5.624755,5.846566
13.795152,145.3913,5.623955,5.845966
13.89327,146.38641,5.623154,5.8453655
13.991414,147.38155,5.622354,5.8447657
14.089586,148.37666,5.6215534,5.8441653
14.187785,149.37177,5.6207533,5.843565
14.286012,150.36688,5.619953,5.8429646
14.384268,151.36198,5.6191525,5.8423643
14.482552,152.35709,5.6183524,5.841764
14.580864,153.35219,5.617552,5.841164
14.679206,154.34729,5.6167517,5.840564
14.777577,155.34239,5.615951,5.8399634
14.875979,156.33748,5.615151,5.839363
14.974411,157.33258,5.6143503,5.8387628
15.072873,158.32767,5.61355,5.8381624
15.171366,159.32275,5.61275,5.8375626
15.26989,160.31783,5.6119494,5.836962
15.368445,161.31291,5.6111493,5.836362
15.467032,162.30798,5.6103487,5.8357615
15.565652,163.30305,5.6095486,5.835161
15.664305,164.29813,5.608748,5.834561
15.76299,165.29318,5.607948,5.833961
15.861708,166.28825,5.607147,5.8333607
15.96046,167.28331,5.606347,5.8327603
16.059246,168.27837,5.605547,5.83216
16.158066,169.27342,5.6047463,5.8315597
16.25692,170.26846,5.603946,5.83096
16.35581,171.2635,5.6031456,5.8303595
16.454735,172.25854,5.6023455,5.829759
16.553694,173.25359,5.6015453,5.829159
16.65269,174.24863,5.6007447,5.8285584
16.751722,175.24365,5.5999584,5.827958
16.850792,176.23868,5.599358,5.8273582
16.949896,177.2337,5.5987577,5.826758
17.04904,178.22873,5.5981574,5.8261576
17.14822,179.22374,5.5975575,5.825557
17.247438,180.21875,5.596943,5.824957
17.346695,181.21376,5.5961423,5.824357
17.44599,182.20877,5.595342,5.8237567
17.545324,183.20377,5.594542,5.8231564
17.644695,184.19876,5.5937414,5.822556
17.744102,185.19376,5.5929413,5.8219557
17.84355,186.18875,5.5921407,5.821356
17.943031,187.18373,5.5913405,5.8207555
18.04255,188.17871,5.5905404,5.820155
18.142101,189.17369,5.58974,5.819555
18.241688,190.16867,5.5889397,5.818955
18.341307,191.16364,5.5881395,5.8183546
18.44096,192.15862,5.587339,5.8177543
18.540644,193.15358,5.586539,5.817154
18.64036,194.14854,5.585738,5.8165536
18.740105,195.1435,5.584938,5.8159537
18.839882,196.13846,5.584138,5.8153534
18.939688,197.1334,5.5833373,5.814753
19.03952,198.12836,5.582537,5.8141527
19.139383,199.1233,5.581737,5.813553
19.239271,200.11826,5.5809364,5.8129525
19.339188,201.11319,5.5801363,5.812352
19.439129,202.10814,5.579336,5.811752
19.539095,203.10307,5.5785356,5.8111515
19.639086,204.098,5.5777354,5.8105516
19.739101,205.09294,5.576935,5.8099513
19.839138,206.08788,5.5761347,5.809351
19.9392,207.0828,5.5753345,5.8087506
20.03928,208.07773,5.574534,5.808151
20.139383,209.07265,5.573734,5.8075504
20.239508,210.06757,5.5729337,5.80695
20.339651,211.06248,5.572133,5.8063498
20.439812,212.0574,5.571333,5.80575
20.539993,213.05232,5.570533,5.8051496
20.640192,214.04724,5.569732,5.804549
20.740406,215.04214,5.568932,5.803949
20.840637,216.03706,5.568132,5.803349
20.940884,217.03197,5.5673313,5.8027487
21.041145,218.02687,5.566531,5.8021483
21.14142,219.02179,5.565731,5.801548
21.24171,220.0167,5.5649304,5.800948
21.342012,221.0116,5.5641303,5.800348
21.442327,222.0065,5.56333,5.7997475
21.542652,223.0014,5.5625296,5.799147
21.64299,223.99629,5.5617294,5.7985473
21.743336,224.9912,5.5609293,5.797947
21.843693,225.9861,5.560129,5.7973466
21.944057,226.98099,5.5593286,5.7967467
22.04443,227.97589,5.5585284,5.7961464
22.14481,228.97078,5.5577283,5.795546
22.245195,229.96568,5.5569277,5.7949457
22.345589,230.96057,5.5561275,5.794346
22.445988,231.95546,5.5553274,5.7937455
22.54639,232.95036,5.554527,5.793145
22.646797,233.94525,5.5537267,5.792545
22.747208,234.94014,5.5529265,5.791945
22.84762,235.93504,5.552126,5.7913446
22.948034,236.92993,5.551326,5.7907443
23.04845,237.92482,5.5505257,5.790144
23.148867,238.91971,5.5497255,5.789544
23.24928,239.91461,5.548925,5.788944
23.349697,240.9095,5.548125,5.7883434
23.450111,241.90439,5.5473247,5.7877436
23.550522,242.89929,5.546524,5.787143
23.65093,243.89418,5.545724,5.786543
23.751335,244.88907,5.544924,5.7859426
23.851736,245.88397,5.544123,5.7853427
23.952131,246.87886,5.543323,5.7847424
24.052523,247.87375,5.542523,5.784142
24.152906,248.86865,5.541723,5.7835417
24.253283,249.86354,5.540922,5.782942
24.353651,250.85844,5.540122,5.7823415
24.454012,251.85335,5.539322,5.781741
24.554363,252.84824,5.5385213,5.7811413
24.654705,253.84314,5.537721,5.780541
24.755037,254.83804,5.536921,5.7799406
24.855358,255.83295,5.5361204,5.7793403
24.955666,256.82785,5.5353203,5.7787404
25.055962,257.82275,5.53452,5.77814
25.156244,258.81766,5.53372,5.7775397
25.256514,259.81256,5.5329194,5.77694
25.356768,260.80746,5.5321193,5.7763395
25.457006,261.80237,5.531319,5.775739
25.55723,262.7973,5.5305185,5.775139
25.657438,263.7922,5.5297184,5.774539
25.757627,264.7871,5.5289183,5.7739387
25.8578,265.78204,5.528118,5.7733383
25.957952,266.77695,5.5273175,5.7727385
26.058086,267.77188,5.5265174,5.772138
26.1582,268.76678,5.5257173,5.771538
26.258293,269.76172,5.5249166,5.7709374
26.358364,270.75665,5.5241165,5.7703376
26.458414,271.7516,5.5233164,5.7697372
26.558441,272.74652,5.5225163,5.769137
26.658443,273.74146,5.5217156,5.768537
26.758423,274.7364,5.5209155,5.7679367
26.858377,275.73132,5.5201154,5.7673364
26.958305,276.72626,5.519315,5.766736
27.058208,277.7212,5.5185146,5.766136
27.158085,278.71616,5.5177145,5.765536
27.257933,279.7111,5.516914,5.7649355
27.357754,280.70605,5.5161138,5.764335
27.457544,281.70102,5.5153136,5.7637353
27.557306,282.69595,5.5145135,5.763135
27.657038,283.69092,5.513713,5.7625346
27.756739,284.68588,5.5129128,5.7619348
27.856407,285.68085,5.5121126,5.7613344
27.956045,286.67584,5.511312,5.760734
28.055649,287.6708,5.510512,5.7601337
28.155218,288.66577,5.5097117,5.759534
28.254753,289.66077,5.5089116,5.7589335
28.354254,290.65573,5.508111,5.758333
28.453718,291.65073,5.507311,5.7577333
28.553146,292.64572,5.5065107,5.757133
28.652538,293.64072,5.50571,5.7565327
28.751892,294.6357,5.50491,5.7559323
28.851206,295.6307,5.50411,5.7553325
28.950481,296.62573,5.5033092,5.754732
29.049719,297.62073,5.502509,5.754132
29.148914,298.61575,5.501709,5.7535315
29.248068,299.61078,5.500909,5.7529316
29.34718,300.6058,5.5001082,5.7523313
29.44625,301.60083,5.499308,5.751731
29.545277,302.59586,5.498508,5.751131
29.64426,303.59088,5.4977074,5.7505307
29.743198,304.58594,5.4969535,5.7499075
29.84209,305.58096,5.4965534,5.749107
29.940937,306.57602,5.4961534,5.7483068
30.039736,307.57108,5.4957533,5.7475066
30.138489,308.56613,5.495353,5.746706
30.237192,309.5612,5.495447,5.745529
30.335848,310.55627,5.4992485,5.741528
30.434456,311.55133,5.50305,5.7375264
30.533012,312.54642,5.506851,5.7335253
30.631517,313.5415,5.5106525,5.7295237
30.72997,314.5366,5.5144777,5.725522
30.828373,315.53168,5.5184793,5.721521
30.926722,316.5268,5.5224805,5.7175193
31.025017,317.52188,5.526482,5.713518
31.123257,318.517,5.5304832,5.7095165
31.221443,319.51212,5.5344605,5.705515
31.319574,320.50723,5.538262,5.701514
31.417648,321.50235,5.542063,5.697512
31.515667,322.4975,5.5458646,5.693511
31.613626,323.4926,5.549666,5.6895094
31.711529,324.48776,5.5534673,5.685508
31.80937,325.4829,5.557269,5.6815066
31.907154,326.47806,5.5610704,5.677505
