# x_m,y_m,w_tr_right_m,w_tr_left_m
0.893483,-0.131892,6.737,6.598
1.0029653,0.8619251,6.7364006,6.5976005
1.1124804,1.8557386,6.735801,6.597201
1.2220272,2.8495486,6.735202,6.5968013
1.3316046,3.8433554,6.7346025,6.5964017
1.4412118,4.8371587,6.734003,6.596002
1.5508476,5.830959,6.7336025,6.5958014
1.6605109,6.824756,6.733203,6.5956016
1.7702007,7.81855,6.7328033,6.595402
1.8799158,8.812342,6.7324038,6.595202
1.9896553,9.80613,6.732004,6.595002
2.0994177,10.799916,6.7316046,6.5948024
2.2092025,11.7937,6.731205,6.5946026
2.3190084,12.787482,6.7308054,6.594403
2.4288342,13.781261,6.730406,6.594203
2.5386791,14.775039,6.7300067,6.594003
2.648542,15.768813,6.72941,6.593607
2.758422,16.762587,6.728811,6.5932074
2.8683176,17.75636,6.7282114,6.592808
2.9782279,18.750128,6.727612,6.592408
3.088152,19.743896,6.7270126,6.5920086
3.1980882,20.737663,6.7266088,6.5918045
3.308036,21.73143,6.726209,6.5916047
3.4179945,22.725193,6.7258096,6.591405
3.5279622,23.718958,6.72541,6.591205
3.6379385,24.712719,6.7250104,6.5910053
3.7479222,25.706482,6.724611,6.5908055
3.857912,26.700243,6.724211,6.5906057
3.9679072,27.694004,6.7238116,6.590406
4.077906,28.687763,6.723412,6.590206
4.1879086,29.681522,6.7230124,6.5900064
4.2979126,30.675282,6.7224197,6.5898066
4.4079175,31.669043,6.7218204,6.589607
4.5179224,32.6628,6.7212205,6.589407
4.6279263,33.65656,6.720621,6.589207
4.7379274,34.650322,6.7200217,6.5890074
4.8479257,35.64408,6.719615,6.588615
4.9579196,36.63784,6.7192154,6.5882154
5.067908,37.631603,6.718816,6.5878158
5.1778893,38.625366,6.718416,6.587416
5.2878637,39.61913,6.7180166,6.5870166
5.397829,40.612892,6.7174253,6.5868087
5.507785,41.606655,6.716826,6.586609
5.6177297,42.60042,6.7162266,6.586409
5.7276626,43.59419,6.715627,6.5862093
5.837583,44.58796,6.715028,6.5860095
5.9474893,45.58173,6.7146187,6.585809
6.0573807,46.5755,6.714219,6.5856094
6.167256,47.569275,6.7138195,6.5854096
6.277114,48.56305,6.71342,6.58521
6.3869534,49.556828,6.7130203,6.58501
6.4967737,50.550606,6.7126207,6.584621
6.6065736,51.54439,6.712221,6.5842214
6.716352,52.538174,6.7118216,6.583822
6.826108,53.53196,6.711422,6.583422
6.9358406,54.52575,6.7110224,6.5830226
7.045549,55.519543,6.710434,6.5828114
7.155231,56.513336,6.7098346,6.5826116
7.264887,57.507137,6.709235,6.582412
7.374515,58.50094,6.708636,6.582212
7.484114,59.49474,6.7080364,6.582012
7.5936837,60.48855,6.7076244,6.5818124
7.703222,61.48236,6.707225,6.5816126
7.812728,62.476173,6.7068253,6.581413
7.922201,63.469994,6.7064257,6.581213
8.03164,64.46381,6.706026,6.581013
8.141044,65.45764,6.7056265,6.5808134
8.250411,66.45147,6.705227,6.5806136
8.35974,67.445305,6.7048273,6.580414
8.469032,68.43914,6.7044277,6.580214
8.578284,69.43298,6.704028,6.580014
8.687495,70.426834,6.7034426,6.5796285
8.796665,71.420685,6.702843,6.579229
8.905792,72.414536,6.702244,6.5788293
9.014875,73.4084,6.7016444,6.5784297
9.123915,74.40227,6.701045,6.57803
9.232907,75.39613,6.70063,6.577815
9.341853,76.390015,6.7002306,6.5776153
9.450751,77.383896,6.699831,6.5774155
9.5596,78.377785,6.6994314,6.5772157
9.668399,79.37167,6.699032,6.577016
9.777146,80.36557,6.698448,6.576816
9.885841,81.359474,6.697849,6.5766163
9.994484,82.353386,6.6972494,6.5764165
10.103071,83.3473,6.69665,6.5762167
10.211602,84.34122,6.6960506,6.576017
10.320077,85.33515,6.695634,6.575634
10.428494,86.32908,6.6952343,6.5752344
10.536854,87.32302,6.6948347,6.574835
10.645156,88.31697,6.694435,6.574435
10.753401,89.31092,6.6940355,6.5740356
10.861587,90.30488,6.693636,6.5738177
10.969716,91.29884,6.6932364,6.573618
11.077787,92.292816,6.6928368,6.573418
11.185802,93.2868,6.692437,6.5732183
11.293761,94.28078,6.6920376,6.5730186
11.401666,95.274765,6.691457,6.5728188
11.509514,96.26876,6.6908574,6.572619
11.617308,97.262764,6.690258,6.572419
11.725047,98.256775,6.6896586,6.5722194
11.832732,99.250786,6.689059,6.5720196
11.940364,100.244804,6.6886396,6.5716395
12.047942,101.23883,6.68824,6.57124
12.155468,102.232864,6.6878405,6.5708404
12.262941,103.2269,6.687441,6.570441
12.370362,104.22094,6.6870413,6.570041
12.477733,105.21499,6.6866417,6.569821
12.585051,106.20904,6.686242,6.569621
12.692318,107.2031,6.6858425,6.5694213
12.799535,108.19717,6.685443,6.5692215
12.906701,109.19123,6.6850433,6.5690217
13.013818,110.18531,6.6844654,6.568822
13.120886,111.17939,6.683866,6.568622
13.227904,112.17348,6.683266,6.5684223
13.334874,113.167564,6.682667,6.5682225
13.441796,114.16166,6.6820674,6.5680227
13.548671,115.15576,6.6816454,6.567823
13.655498,116.149864,6.681246,6.5676227
13.762278,117.14398,6.680846,6.567423
13.869011,118.13809,6.6804466,6.567223
13.975698,119.13222,6.680047,6.5670233
14.08234,120.12634,6.679471,6.5666475
14.188936,121.120476,6.6788716,6.5662475
14.295487,122.11461,6.6782722,6.565848
14.401994,123.10875,6.677673,6.5654483
14.508455,124.10289,6.6770735,6.5650487
14.614874,125.097046,6.676649,6.5648246
14.721249,126.0912,6.6762495,6.564625
14.82758,127.08536,6.67585,6.564425
14.933869,128.07951,6.6754503,6.564225
15.040116,129.07368,6.6750507,6.5640254
15.146321,130.06786,6.674651,6.5638256
15.252484,131.06204,6.6742516,6.563626
15.358606,132.05621,6.673852,6.563426
15.464688,133.0504,6.6734524,6.563226
15.570729,134.0446,6.673053,6.5630264
15.676731,135.03879,6.6775103,6.564388
15.782693,136.03299,6.682705,6.565986
15.888616,137.02719,6.6879,6.5675845
15.994499,138.0214,6.693095,6.569183
16.100346,139.01561,6.69829,6.5707817
16.206152,140.00983,6.7058997,6.573415
16.311922,141.00404,6.713892,6.5762124
16.417656,141.99826,6.7218843,6.5790095
16.523352,142.9925,6.7298765,6.5818067
16.629011,143.98672,6.737869,6.5846043
16.734634,144.98096,6.7460327,6.5872297
16.840221,145.9752,6.754225,6.5898275
16.945776,146.96944,6.7624164,6.592425
17.051292,147.96368,6.7706084,6.595022
17.156776,148.95793,6.7788005,6.5976195
17.262226,149.9522,6.786822,6.6003876
17.367643,150.94644,6.794814,6.603185
17.473024,151.9407,6.8028064,6.6059823
17.578375,152.93497,6.8107986,6.6087794
17.683693,153.92923,6.818791,6.6115766
17.788977,154.92351,6.8269525,6.6142044
17.894232,155.91779,6.8351445,6.6168017
17.999453,156.91206,6.843336,6.6193995
18.104645,157.90634,6.851528,6.621997
18.209805,158.90062,6.85972,6.624594
18.314936,159.89491,6.8677435,6.6271915
18.420036,160.8892,6.8757358,6.629789
18.525108,161.8835,6.8837276,6.6323867
18.630152,162.87779,6.89172,6.634984
18.735165,163.87209,6.899712,6.6375813
18.84015,164.8664,6.9078717,6.6403465
18.94511,165.8607,6.9160633,6.6431437
19.05004,166.85501,6.9242554,6.645941
19.154943,167.84932,6.9324474,6.648738
19.25982,168.84363,6.940639,6.6515355
19.364672,169.83795,6.9486647,6.6541657
19.469496,170.83226,6.9566565,6.6567636
