# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.196326,-0.660119,7.52,7.291
-0.34653404,-1.1866679,7.5228,7.2866
0.50318253,-1.7133384,7.5255995,7.2822003
1.352812,-2.2401493,7.5283995,7.2778006
2.202343,-2.7671192,7.5311995,7.273401
3.0517635,-3.2942672,7.5339994,7.269001
3.901062,-3.8216114,7.536599,7.2644014
4.750227,-4.349171,7.539199,7.259802
5.5992465,-4.876964,7.541799,7.255202
6.4481096,-5.4050097,7.544399,7.2506022
7.296804,-5.933326,7.5469985,7.2460027
8.145318,-6.4619317,7.5497985,7.2416024
8.99364,-6.9908457,7.552598,7.2372026
9.841758,-7.520086,7.555398,7.232803
10.689661,-8.049671,7.558198,7.228403
11.537336,-8.579621,7.560998,7.2240033
12.384772,-9.109953,7.563798,7.2196035
13.231957,-9.640686,7.5665975,7.215204
14.07888,-10.171837,7.5693974,7.210804
14.9255295,-10.703425,7.5721974,7.206404
15.771893,-11.235469,7.5749974,7.2020044
16.617958,-11.767985,7.5775976,7.1974044
17.463713,-12.300995,7.5801973,7.192805
18.309143,-12.834517,7.582797,7.188205
19.15424,-13.36857,7.5853972,7.183605
19.998985,-13.903175,7.587997,7.179005
20.843384,-14.438331,7.590797,7.174605
21.68749,-14.973947,7.593597,7.170205
22.531376,-15.5099125,7.5963964,7.1658053
23.375107,-16.04612,7.5991964,7.161405
24.218756,-16.582455,7.6019964,7.1570053
25.062393,-17.118809,7.604597,7.1524053
25.90609,-17.655071,7.607197,7.147805
26.749916,-18.191128,7.609797,7.143205
27.593943,-18.72687,7.612397,7.1386046
28.438242,-19.262182,7.6149974,7.1340046
29.282883,-19.796953,7.617798,7.129604
30.127937,-20.331072,7.6205983,7.1252027
30.973476,-20.864424,7.623399,7.120802
31.819567,-21.3969,7.6261992,7.116401
32.666283,-21.928383,7.6289997,7.1120005
33.513687,-22.458763,7.6316004,7.1075993
34.361855,-22.987925,7.6342015,7.1031976
35.21085,-23.515759,7.636802,7.0987964
36.060738,-24.04215,7.639403,7.0943947
36.91159,-24.566984,7.6420045,7.089993
37.76347,-25.090149,7.6448054,7.085391
38.616447,-25.611525,7.647607,7.0807886
39.470585,-26.130993,7.6504083,7.0761867
40.32595,-26.648434,7.653209,7.0715847
41.182613,-27.16373,7.65601,7.066983
42.040634,-27.676762,7.6586113,7.062581
42.900066,-28.187422,7.6612124,7.0581794
43.760967,-28.695604,7.6638136,7.053777
44.623386,-29.201204,7.6664147,7.049375
45.487377,-29.704115,7.669017,7.044972
46.352997,-30.204218,7.671818,7.040371
47.22032,-30.701359,7.6746182,7.0357704
48.08943,-31.195372,7.6774187,7.0311694
48.960403,-31.686087,7.680219,7.0265684
49.83332,-32.17334,7.6828847,7.0220704
50.708214,-32.657036,7.666491,7.0320663
51.58494,-33.1374,7.6500974,7.0420628
52.463318,-33.61474,7.6337037,7.0520587
53.343174,-34.089344,7.6173105,7.0620546
54.22433,-34.56153,7.60077,7.07216
55.10661,-35.031624,7.5553937,7.1037436
55.989784,-35.500027,7.510017,7.1353273
56.873627,-35.96717,7.46464,7.166911
57.757908,-36.433483,7.419264,7.198495
58.6424,-36.8994,7.373887,7.230079
59.526875,-37.365337,7.3284655,7.261894
60.41113,-37.8317,7.2830443,7.2937093
61.294952,-38.298878,7.2376227,7.325524
62.17814,-38.767265,7.1922016,7.357339
63.060474,-39.237247,7.1467805,7.3891535
63.941742,-39.709232,7.1014643,7.420835
64.8217,-40.18364,7.0561476,7.452516
65.70011,-40.660923,7.0108314,7.4841976
66.57672,-41.141506,6.965515,7.5158787
67.45126,-41.62583,6.920194,7.547561
68.323456,-42.114376,6.8745437,7.579335
69.19291,-42.607784,6.828893,7.6111097
70.05919,-43.10674,6.783242,7.6428843
70.92185,-43.61191,6.737591,7.6746593
71.78045,-44.123974,6.6929164,7.7056375
72.634514,-44.64356,6.668914,7.7197566
73.48361,-45.171227,6.6449113,7.7338758
74.327286,-45.707508,6.6209087,7.747995
75.165085,-46.252926,6.596907,7.7621136
75.99653,-46.807987,6.577798,7.772202
76.82107,-47.37325,6.609884,7.740116
77.63801,-47.949444,6.6419697,7.7080307
78.44658,-48.53731,6.6740565,7.6759434
79.245995,-49.137577,6.7061462,7.6438537
80.03541,-49.75093,6.738217,7.611783
80.81426,-50.37764,6.770151,7.5798492
81.58284,-51.016914,6.802083,7.5479174
82.341606,-51.6678,6.8340125,7.5159874
83.09106,-52.329395,6.865942,7.484058
83.83173,-53.00081,6.8978367,7.452163
84.56439,-53.68095,6.9295287,7.420471
85.29043,-54.36817,6.9612226,7.3887777
86.011345,-55.060757,6.9929156,7.3570843
86.7287,-55.757034,7.0246086,7.3253913
87.44407,-56.45535,7.056294,7.293706
88.15898,-57.154133,7.0879326,7.2620673
88.87482,-57.851974,7.119572,7.2304277
89.592896,-58.547504,7.1512113,7.1987886
90.314545,-59.239323,7.182849,7.167151
91.04108,-59.926018,7.2145004,7.1354995
91.77378,-60.606113,7.2462907,7.103709
92.514046,-61.277977,7.2780805,7.07192
93.263214,-61.9399,7.309873,7.040127
94.02256,-62.590107,7.3416705,7.0083294
94.7933,-63.22676,7.3716226,6.9783773
95.57609,-63.84854,7.3864937,6.963506
96.37021,-64.45579,7.401363,6.9486375
97.174736,-65.04918,7.4162297,6.93377
97.98881,-65.62941,7.431096,6.918904
98.8116,-66.19722,7.4434967,6.906503
99.6423,-66.75337,7.439684,6.910316
100.480156,-67.29871,7.435871,6.9141293
101.32439,-67.83412,7.432058,6.917942
102.17428,-68.3605,7.4282446,6.9217553
103.029144,-68.87876,7.4244633,6.9255366
103.88831,-69.38987,7.420862,6.9291377
104.75111,-69.89483,7.417261,6.9327393
105.61688,-70.39465,7.4136596,6.9363403
106.485016,-70.89039,7.410059,6.9399414
107.35487,-71.38307,7.4064584,6.9435415
108.22593,-71.87364,7.402863,6.9471374
109.0978,-72.36276,7.399267,6.9507327
109.970146,-72.85105,7.3956714,6.9543285
110.842606,-73.33912,7.3920755,6.9579244
111.71484,-73.82758,7.3884797,6.96152
112.58662,-74.31688,7.3848834,6.9651165
113.45795,-74.80698,7.381287,6.968713
114.32889,-75.297745,7.377691,6.9723096
115.19952,-75.78908,7.374094,6.975906
116.069885,-76.28086,7.3704696,6.9795303
116.940056,-76.77301,7.3666725,6.9833274
117.810005,-77.26553,7.3628755,6.9871244
118.67974,-77.758446,7.359078,6.990922
119.54925,-78.25177,7.355281,6.994719
120.4185,-78.74552,7.351511,6.9984894
121.28751,-79.23971,7.3479123,7.0020876
122.15629,-79.734314,7.344314,7.005686
123.024826,-80.22933,7.340716,7.009284
123.893135,-80.72474,7.3371177,7.012882
124.76124,-81.22052,7.3335195,7.0164804
125.629135,-81.71666,7.329921,7.0200796
126.49683,-82.21314,7.3263216,7.0236783
127.36434,-82.70998,7.3227224,7.0272775
128.23164,-83.20714,7.3191237,7.030876
129.09877,-83.70463,7.3155246,7.0344753
129.96571,-84.20244,7.311925,7.038075
130.83247,-84.70056,7.3083253,7.0416746
131.69907,-85.198975,7.3047256,7.0452743
132.56549,-85.697685,7.3011265,7.048874
133.43176,-86.19667,7.2975,7.0525
134.29787,-86.69592,7.2937,7.0562997
135.16382,-87.195435,7.2899,7.0601
136.02965,-87.6952,7.2861,7.0639
136.89531,-88.195206,7.2823,7.0677004
137.76086,-88.69544,7.278526,7.071474
