# x_m,y_m,w_tr_right_m,w_tr_left_m
1.242679,-1.293111,7.288,7.487
0.52070063,-1.9849647,7.2917986,7.4834013
-0.20126146,-2.6768355,7.295597,7.479803
-0.92320716,-3.3687234,7.2993956,7.4762044
-1.6451362,-4.0606284,7.303194,7.4726057
-2.3670485,-4.752551,7.3069925,7.4690075
-3.088944,-5.444492,7.313983,7.460421
-3.810822,-6.13645,7.32098,7.451824
-4.532683,-6.8284264,7.327977,7.443228
-5.2545266,-7.520421,7.3349743,7.4346313
-5.976352,-8.212434,7.341972,7.426035
-6.69816,-8.904466,7.348969,7.4174385
-7.41995,-9.596516,7.355966,7.4088416
-8.141722,-10.288586,7.362963,7.400245
-8.863475,-10.980674,7.3699603,7.391649
-9.585209,-11.672782,7.3769574,7.3830523
-10.306925,-12.36491,7.383756,7.3744555
-11.028622,-13.057057,7.3905535,7.365859
-11.750299,-13.749225,7.3973503,7.3572626
-12.471958,-14.441412,7.4041476,7.348666
-13.193597,-15.13362,7.410945,7.3400693
-13.9152155,-15.825849,7.4179406,7.331473
-14.636814,-16.518099,7.4249377,7.3228765
-15.358394,-17.21037,7.431935,7.31428
-16.079952,-17.90266,7.438932,7.3056836
-16.80149,-18.594973,7.445929,7.2970867
-17.523008,-19.287308,7.4529266,7.2884903
-18.244505,-19.979662,7.4599237,7.279894
-18.96598,-20.67204,7.466921,7.2712975
-19.687435,-21.36444,7.473918,7.2627006
-20.408869,-22.056862,7.480915,7.254104
-21.130281,-22.749308,7.487715,7.245705
-21.851671,-23.441774,7.494512,7.2373085
-22.573038,-24.134264,7.5013094,7.228912
-23.294384,-24.826778,7.5081067,7.2205153
-24.015709,-25.519314,7.5149035,7.212119
-24.73701,-26.211874,7.5218983,7.203525
-25.458288,-26.904457,7.5288954,7.1949286
-26.179544,-27.597063,7.5358925,7.186332
-26.900776,-28.289696,7.5428896,7.177736
-27.621986,-28.98235,7.5498867,7.1691394
-28.343172,-29.67503,7.556884,7.1605425
-29.064335,-30.367735,7.563881,7.151946
-29.785473,-31.060463,7.570878,7.1433496
-30.506588,-31.753218,7.577875,7.134753
-31.227678,-32.445995,7.5848722,7.126157
-31.948746,-33.1388,7.5830374,7.130514
