# x_m,y_m,w_tr_right_m,w_tr_left_m
2.270089,-1.015217,7.044,7.083
1.3102642,-0.73479813,7.0474,7.0868
0.3504416,-0.45437193,7.0508,7.0906
-0.6093789,-0.17393836,7.0542,7.0944
-1.5691972,0.106502526,7.0576,7.0982
-2.5290134,0.38695073,7.061,7.102
-3.4888275,0.66740626,7.0644,7.1058
-4.4486394,0.94786906,7.0678,7.1096
-5.408449,1.2283392,7.0712,7.1134
-6.368257,1.5088166,7.0745997,7.1172
-7.3280625,1.7893012,7.078,7.121
-8.287866,2.069793,7.0706,7.1144004
-9.247667,2.350292,7.0632005,7.1078005
-10.207466,2.630798,7.0558004,7.1012006
-11.167264,2.9113114,7.0484004,7.0946007
-12.127059,3.1918318,7.041001,7.088001
-13.086852,3.4723594,7.010803,7.059403
-14.046642,3.752894,6.9806037,7.0308037
-15.006432,4.0334353,6.9504046,7.002204
-15.966218,4.3139844,6.920205,6.9736047
-16.926003,4.59454,6.8900056,6.9450054
-17.885786,4.875103,6.8600063,6.916406
-18.845566,5.155673,6.8300076,6.887807
-19.805346,5.43625,6.8000083,6.859208
-20.765121,5.716834,6.770009,6.830609
-21.724895,5.997425,6.7400103,6.8020096
-22.684668,6.2780232,6.709811,6.773411
-23.644438,6.5586286,6.6796126,6.744812
-24.604206,6.8392406,6.6494136,6.716213
-25.563972,7.1198597,6.619215,6.687614
-26.523737,7.4004855,6.589016,6.659015
-27.4835,7.6811185,6.5588174,6.6304164
-28.44326,7.961758,6.528619,6.601818
-29.403019,8.242405,6.4984202,6.5732193
-30.362774,8.523058,6.4682217,6.5446205
-31.322529,8.803719,6.4380236,6.516022
-32.28228,9.084385,6.407825,6.487424
-33.24203,9.365059,6.377627,6.4588256
-34.20178,9.6457405,6.347429,6.4302273
-35.161526,9.926428,6.31723,6.4016285
-36.12127,10.207122,6.287032,6.37303
-37.081013,10.487823,6.256834,6.3442326
-38.040752,10.76853,6.2266364,6.3154345
-39.000492,11.049245,6.1964383,6.2866364
-39.960228,11.329966,6.16624,6.2578382
-40.91996,11.610693,6.1360426,6.2290406
-41.879696,11.891428,6.105845,6.2004423
-42.839424,12.172169,6.0756474,6.1718445
-43.799152,12.452917,6.0454497,6.1432467
-44.75888,12.733671,6.015252,6.1146493
-45.718605,13.014433,5.9850545,6.0860515
-46.678326,13.2952,5.9846005,6.083405
-47.63805,13.575974,5.984201,6.0808053
-48.597767,13.856754,5.983801,6.0782056
-49.557484,14.137542,5.983401,6.0756054
-50.5172,14.418336,5.9830008,6.0730057
-51.476913,14.699136,5.984197,6.0716033
-52.436623,14.979943,5.985397,6.0702033
-53.39633,15.2607565,5.986597,6.068804
-54.35604,15.541576,5.987797,6.067404
-55.315746,15.822402,5.9889965,6.066004
-56.27545,16.103235,5.9901967,6.0648036
-57.235153,16.384073,5.9913964,6.0636034
-58.19485,16.664919,5.992596,6.0624037
-59.15455,16.945772,5.9937963,6.061204
-60.114246,17.22663,5.994996,6.0600038
-61.07394,17.507494,5.996196,6.058804
