# x_m,y_m,w_tr_right_m,w_tr_left_m
-847.5,320,10,10
-846.50006,320,10,10
-845.5002,320,10,10
-844.50024,320,10,10
-843.50037,320,10,10
-842.5004,320,10,10
-841.50055,320,10,10
-840.5006,320,10,10
-839.50073,320,10,10
-838.5008,320,10,10
-837.50085,320,10,10
-836.501,320,10,10
-835.50104,320,10,10
-834.50116,320,10,10
-833.5012,320,10,10
-832.50134,320,10,10
-831.5014,320,10,10
-830.5015,320,10,10
-829.5016,320,10,10
-828.50165,320,10,10
-827.5018,320,10,10
-826.50183,320,10,10
-825.50195,320,10,10
-824.502,320,10,10
-823.50214,320,10,10
-822.5022,320,10,10
-821.5023,320,10,10
-820.5024,320,10,10
-819.50244,320,10,10
-818.50256,320,10,10
-817.5026,320,10,10
-816.50275,320,10,10
-815.5028,320,10,10
-814.5029,320,10,10
-813.503,320,10,10
-812.50305,320,10,10
-811.5032,320,10,10
-810.50323,320,10,10
-809.50336,320,10,10
-808.5034,320,10,10
-807.50354,320,10,10
-806.5036,320,10,10
-805.5037,320,10,10
-804.5038,320,10,10
-803.50385,320,10,10
-802.50397,320,10,10
-801.504,320,10,10
-800.50415,320,10,10
-799.5042,320,10,10
-798.50433,320,10,10
-797.5044,320,10,10
-796.5045,320,10,10
-795.5046,320,10,10
-794.50464,320,10,10
-793.50476,320,10,10
-792.5048,320,10,10
-791.50494,320,10,10
-790.505,320,10,10
-789.5051,320,10,10
-788.5052,320,10,10
-787.5053,320,10,10
-786.5054,320,10,10
-785.50543,320,10,10
-784.50555,320,10,10
-783.5056,320,10,10
-782.50574,320,10,10
-781.5058,320,10,10
-780.5059,320,10,10
-779.506,320,10,10
-778.5061,320,10,10
-777.50616,320,10,10
-776.5062,320,10,10
-775.50635,320,10,10
-774.5064,320,10,10
-773.50653,320,10,10
-772.5066,320,10,10
-771.5067,320,10,10
-770.5068,320,10,10
-769.5069,320,10,10
-768.50696,320,10,10
-767.507,320,10,10
-766.50714,320,10,10
-765.5072,320,10,10
-764.5073,320,10,10
-763.5074,320,10,10
-762.5075,320,10,10
-761.50757,320,10,10
-760.5077,320,10,10
-759.50775,320,10,10
-758.5078,320,10,10
-757.50793,320,10,10
-756.508,320,10,10
-755.5081,320,10,10
-754.5082,320,10,10
-753.5083,320,10,10
-752.50836,320,10,10
-751.5085,320,10,10
-750.50854,320,10,10
-749.5086,320,10,10
-748.5087,320,10,10
-747.5088,320,10,10
-746.5089,320,10,10
-745.509,320,10,10
-744.5091,320,10,10
-743.50916,320,10,10
-742.5092,320,10,10
-741.50934,320,10,10
-740.5094,320,10,10
-739.5095,320,10,10
-738.5096,320,10,10
-737.5097,320,10,10
-736.50977,320,10,10
-735.5099,320,10,10
-734.50995,320,10,10
-733.51,320,10,10
-732.51013,320,10,10
-731.5102,320,10,10
-730.5103,320,10,10
-729.5104,320,10,10
-728.5105,320,10,10
-727.51056,320,10,10
-726.5107,320,10,10
-725.51074,320,10,10
-724.5108,320,10,10
-723.5109,320,10,10
-722.511,320,10,10
-721.5111,320,10,10
-720.51117,320,10,10
-719.5113,320,10,10
-718.51135,320,10,10
-717.5115,320,10,10
-716.51154,320,10,10
-715.5116,320,10,10
-714.5117,320,10,10
-713.5118,320,10,10
-712.5119,320,10,10
-711.51196,320,10,10
-710.5121,320,10,10
-709.51215,320,10,10
-708.51227,320,10,10
-707.5123,320,10,10
-706.5124,320,10,10
-705.5125,320,10,10
-704.5126,320,10,10
-703.5127,320,10,10
-702.51276,320,10,10
-701.5129,320,10,10
-700.51294,320,10,10
-699.51306,320,10,10
-698.5131,320,10,10
-697.5132,320,10,10
-696.5133,320,10,10
-695.51337,320,10,10
-694.5135,320,10,10
-693.51355,320,10,10
-692.5137,320,10,10
-691.51373,320,10,10
-690.51385,320,10,10
-689.5139,320,10,10
-688.514,320,10,10
-687.5141,320,10,10
-686.51416,320,10,10
-685.5143,320,10,10
-684.51434,320,10,10
-683.51447,320,10,10
-682.5145,320,10,10
-681.5146,320,10,10
-680.5147,320,10,10
-679.5148,320,10,10
-678.5149,320,10,10
-677.51495,320,10,10
-676.5151,320,10,10
-675.51514,320,10,10
-674.51526,320,10,10
-673.5153,320,10,10
-672.5154,320,10,10
-671.5155,320,10,10
-670.51556,320,10,10
-669.5157,320,10,10
-668.51575,320,10,10
-667.51587,320,10,10
-666.5159,320,10,10
-665.51605,320,10,10
-664.5161,320,10,10
-663.5162,320,10,10
-662.5163,320,10,10
-661.51636,320,10,10
-660.5165,320,10,10
-659.51654,320,10,10
-658.51666,320,10,10
-657.5167,320,10,10
-656.51685,320,10,10
-655.5169,320,10,10
-654.51697,320,10,10
-653.5171,320,10,10
-652.51715,320,10,10
-651.5173,320,10,10
-650.51733,320,10,10
-649.51746,320,10,10
-648.5175,320,10,10
-647.51764,320,10,10
-646.5177,320,10,10
-645.51776,320,10,10
-644.5179,320,10,10
-643.51794,320,10,10
-642.51807,320,10,10
-641.5181,320,10,10
-640.51825,320,10,10
-639.5183,320,10,10
-638.51843,320,10,10
-637.5185,320,10,10
-636.51855,320,10,10
-635.5187,320,10,10
-634.51874,320,10,10
-633.51886,320,10,10
-632.5189,320,10,10
-631.51904,320,10,10
-630.5191,320,10,10
-629.5192,320,10,10
-628.5193,320,10,10
-627.51935,320,10,10
-626.5195,320,10,10
-625.51953,320,10,10
-624.51965,320,10,10
-623.5197,320,10,10
-622.51984,320,10,10
-621.5199,320,10,10
-620.51996,320,10,10
-619.5201,320,10,10
-618.52014,320,10,10
-617.52026,320,10,10
-616.5203,320,10,10
-615.52045,320,10,10
-614.5205,320,10,10
-613.5206,320,10,10
-612.5207,320,10,10
-611.52075,320,10,10
-610.5209,320,10,10
-609.52094,320,10,10
-608.52106,320,10,10
-607.5211,320,10,10
-606.52124,320,10,10
-605.5213,320,10,10
-604.5214,320,10,10
-603.5215,320,10,10
-602.52155,320,10,10
-601.52167,320,10,10
-600.5217,320,10,10
-599.52185,320,10,10
-598.5219,320,10,10
-597.52203,320,10,10
-596.5221,320,10,10
-595.5222,320,10,10
-594.5223,320,10,10
-593.52234,320,10,10
-592.52246,320,10,10
-591.5225,320,10,10
-590.52264,320,10,10
-589.5227,320,10,10
-588.5228,320,10,10
-587.5229,320,10,10
-586.523,320,10,10
-585.5231,320,10,10
-584.52313,320,10,10
-583.52325,320,10,10
-582.5233,320,10,10
-581.52344,320,10,10
-580.5235,320,10,10
-579.5236,320,10,10
-578.5237,320,10,10
-577.5238,320,10,10
-576.52386,320,10,10
-575.5239,320,10,10
-574.52405,320,10,10
-573.5241,320,10,10
-572.52423,320,10,10
-571.5243,320,10,10
-570.5244,320,10,10
-569.5245,320,10,10
-568.5246,320,10,10
-567.52466,320,10,10
-566.5247,320,10,10
-565.52484,320,10,10
-564.5249,320,10,10
-563.525,320,10,10
-562.5251,320,10,10
-561.5252,320,10,10
-560.52527,320,10,10
-559.5254,320,10,10
-558.52545,320,10,10
-557.5255,320,10,10
-556.52563,320,10,10
-555.5257,320,10,10
-554.5258,320,10,10
-553.5259,320,10,10
-552.526,320,10,10
-551.52606,320,10,10
-550.5261,320,10,10
-549.52625,320,10,10
-548.5263,320,10,10
-547.5264,320,10,10
-546.5265,320,10,10
-545.5266,320,10,10
-544.5267,320,10,10
-543.5268,320,10,10
-542.52686,320,10,10
-541.5269,320,10,10
-540.52704,320,10,10
-539.5271,320,10,10
-538.5272,320,10,10
-537.5273,320,10,10
-536.5274,320,10,10
-535.52747,320,10,10
-534.5276,320,10,10
-533.52765,320,10,10
-532.5277,320,10,10
-531.52783,320,10,10
-530.5279,320,10,10
-529.528,320,10,10
-528.5281,320,10,10
-527.5282,320,10,10
-526.52826,320,10,10
-525.5284,320,10,10
-524.52844,320,10,10
-523.5285,320,10,10
