# x_m,y_m,w_tr_right_m,w_tr_left_m
-93.5,45,5,5
-92.50036,45.000084,5,5
-91.50071,45,5,5
-90.50107,44.999977,5,5
-89.50143,45,5,5
-88.50178,45.000008,5,5
-87.50214,45,5,5
-86.50249,45,5,5
-85.502846,45,5,5
-84.503204,45,5,5
-83.503555,45,5,5
-82.503914,45,5,5
-81.50427,45,5,5
-80.50462,45,5,5
-79.50498,45,5,5
-78.50534,45,5,5
-77.50569,45,5,5
-76.50605,45,5,5
-75.50641,45,5,5
-74.50676,45,5,5
-73.50712,45,5,5
-72.50747,45,5,5
-71.50783,45,5,5
-70.50819,45,5,5
-69.50854,45,5,5
-68.508896,45,5,5
-67.509254,45,5,5
-66.509605,45,5,5
-65.509964,45,5,5
-64.51032,45,5,5
-63.510677,45,5,5
-62.511032,45,5,5
-61.511387,45,5,5
-60.51174,45,5,5
-59.5121,45,5,5
-58.512455,45,5,5
-57.51281,45,5,5
-56.513165,45,5,5
-55.513523,45,5,5
-54.513878,45,5,5
-53.514233,45,5,5
-52.51459,45,5,5
-51.514946,45,5,5
-50.5153,45,5,5
-49.515656,45,5,5
-48.516014,45,5,5
-47.51637,45,5,5
-46.516724,45,5,5
-45.517082,45,5,5
-44.517437,45,5,5
-43.51779,45,5,5
-42.518147,45,5,5
-41.518505,45,5,5
-40.51886,45,5,5
-39.519215,45,5,5
-38.519573,45,5,5
-37.519928,45,5,5
-36.520283,45,5,5
-35.520638,45,5,5
-34.520996,45,5,5
-33.52135,45,5,5
-32.521706,45,5,5
-31.522062,45,5,5
-30.522419,45,5,5
-29.522774,45,5,5
-28.52313,45,5,5
-27.523485,45,5,5
-26.523842,45,5,5
-25.524199,45,5,5
-24.524553,45,5,5
-23.52491,45,5,5
-22.525265,45,5,5
-21.525621,45,5,5
-20.525976,45,5,5
-19.526333,45,5,5
-18.52669,45,5,5
-17.527044,45,5,5
-16.527401,45,5,5
-15.527757,45,5,5
-14.528112,45,5,5
-13.528468,45,5,5
-12.528824,45,5,5
-11.52918,45,5,5
-10.529535,45,5,5
-9.529891,45,5,5
-8.530247,45,5,5
-7.530603,45,5,5
-6.5309587,45,5,5
-5.531315,45,5,5
-4.5316706,45,5,5
-3.5320265,45,5,5
-2.5323822,45,5,5
-1.5327381,45,5,5
-0.533094,45,5,5
0.46655017,45,5,5
1.4661943,45,5,5
2.4658384,45,5,5
3.4654827,45,5,5
4.465127,45,5,5
5.464771,45,5,5
6.464415,45,5,5
7.4640594,45,5,5
8.463703,45,5,5
9.463347,45,5,5
10.462992,45,5,5
11.462636,45,5,5
12.46228,45,5,5
13.461925,45,5,5
14.461568,45,5,5
15.461212,45,5,5
16.460857,45,5,5
17.4605,45,5,5
18.460144,45,5,5
19.45979,45,5,5
20.459433,45,5,5
21.459078,45,5,5
22.458721,45,5,5
23.458366,45,5,5
24.45801,45,5,5
25.457653,45,5,5
26.457298,45,5,5
27.456942,45,5,5
28.456587,45,5,5
29.45623,45,5,5
30.455875,45,5,5
31.455519,45,5,5
32.455162,45,5,5
33.454807,45,5,5
34.454453,45,5,5
35.454094,45,5,5
36.45374,45,5,5
37.453384,45,5,5
38.45303,45,5,5
39.45267,45,5,5
40.452316,45,5,5
41.45196,45,5,5
42.451603,45,5,5
43.45125,45,5,5
44.450893,45,5,5
45.45054,45,5,5
46.45018,45,5,5
47.449825,45,5,5
48.44947,45,5,5
49.449112,45,5,5
50.448757,45,5,5
51.448402,45,5,5
52.448048,45,5,5
53.44769,45,5,5
54.447334,45,5,5
55.44698,45,5,5
56.44662,45,5,5
57.446266,45,5,5
58.44591,45,5,5
59.445557,45,5,5
60.445198,45,5,5
61.444843,45,5,5
62.44449,45,5,5
63.44413,45,5,5
64.44378,45,5,5
65.44342,45,5,5
66.44306,45,5,5
67.44271,45,5,5
68.44235,45,5,5
69.44199,45,5,5
70.44164,45,5,5
71.441284,45,5,5
72.440926,45,5,5
73.440575,45,5,5
74.440216,45,5,5
75.439865,45,5,5
76.43951,45,5,5
77.43915,45,5,5
78.4388,45,5,5
79.43844,45,5,5
80.43808,45,5,5
81.43773,45,5,5
82.43737,45,5,5
83.43701,45,5,5
84.43666,45,5,5
85.4363,45,5,5
86.43594,45,5,5
87.43559,45,5,5
88.435234,45.000004,5,5
89.43488,45,5,5
90.434525,44.999977,5,5
91.434166,44.999996,5,5
92.433815,45.00008,5,5
93.43346,45.000015,5,5
94.4331,44.999454,5,5
95.43274,44.99774,5,5
96.43238,44.994152,5,5
97.43201,44.987953,5,5
98.4316,44.9784,5,5
99.43115,44.964798,5,5
100.43063,44.946617,5,5
101.43001,44.92344,5,5
102.42924,44.89483,5,5
103.42828,44.860355,5,5
104.42709,44.81956,5,5
105.425606,44.77199,5,5
106.423744,44.717197,5,5
107.42144,44.65477,5,5
108.41859,44.584282,5,5
109.41511,44.505325,5,5
110.41088,44.417477,5,5
111.40579,44.32032,5,5
112.3997,44.213436,5,5
113.39246,44.09641,5,5
114.38393,43.968815,5,5
115.37392,43.83023,5,5
116.362236,43.68023,5,5
117.34869,43.518375,5,5
118.33304,43.344234,5,5
119.31505,43.157364,5,5
120.294464,42.957314,5,5
121.270996,42.743637,5,5
122.24434,42.51587,5,5
123.21416,42.27355,5,5
124.1801,42.016212,5,5
125.141785,41.743385,5,5
126.09879,41.45459,5,5
127.05068,41.14935,5,5
127.99698,40.827187,5,5
128.93716,40.487617,5,5
129.8707,40.130173,5,5
130.797,39.75438,5,5
131.71545,39.35977,5,5
