# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.439216,-1.563132,5.989,6.117
-1.3936743,-0.56424016,5.9905996,6.118
-1.3481382,0.4346519,5.9921994,6.1189995
-1.302608,1.4335443,5.993799,6.1199994
-1.2570835,2.432437,5.995399,6.1209993
-1.2115647,3.4313297,5.996999,6.1219993
-1.1660514,4.430223,5.998598,6.122999
-1.1205437,5.4291162,6.000198,6.1239986
-1.0750415,6.42801,6.0017977,6.1249986
-1.0295447,7.4269037,6.0033975,6.1259985
-0.98405343,8.425797,6.0049973,6.1269984
-0.9385675,9.424692,6.006597,6.127998
-0.89308697,10.423587,6.008197,6.128998
-0.8476118,11.422482,6.009796,6.1299977
-0.8021419,12.421377,6.011396,6.1309977
-0.75667727,13.420272,6.0129957,6.1319976
-0.71121794,14.4191675,6.0145955,6.132997
-0.66576385,15.418063,6.0161953,6.133997
-0.6203149,16.41696,6.017795,6.134997
-0.574871,17.415855,6.019395,6.135997
-0.5294322,18.414753,6.020994,6.1369963
-0.48399836,19.413649,6.022594,6.137996
-0.4385695,20.412546,6.024194,6.138996
-0.3931455,21.411444,6.0257936,6.139996
-0.3477264,22.410341,6.0273933,6.140996
-0.30231217,23.409239,6.028993,6.1419954
-0.25690272,24.408136,6.030593,6.1429954
-0.21149805,25.407034,6.032192,6.1439953
-0.1660981,26.405931,6.033792,6.144995
-0.12070283,27.40483,6.035392,6.145995
-0.07531221,28.40373,6.0369916,6.1469946
-0.029926188,29.402628,6.0385914,6.1479945
0.015455276,30.401527,6.040191,6.1489944
0.060832225,31.400427,6.0417905,6.1499944
0.106204696,32.399326,6.0433903,6.150994
0.15157275,33.398228,6.04499,6.1519938
0.1969364,34.397125,6.04659,6.1529937
0.24229568,35.396027,6.0481896,6.1539936
0.28765061,36.394928,6.0497894,6.1549935
0.33300126,37.393826,6.051389,6.155993
0.3783476,38.392727,6.0529885,6.156993
0.42368966,39.39163,6.0545883,6.157993
0.46902752,40.39053,6.056188,6.158993
0.51436126,41.38943,6.057788,6.159992
0.5596909,42.388332,6.0593877,6.160992
0.60501647,43.387234,6.0609875,6.161992
0.6503381,44.386135,6.0625873,6.162992
0.69565576,45.385036,6.0641866,6.163992
0.74096954,46.38394,6.0657864,6.1649914
0.7862794,47.382843,6.067386,6.1659913
0.8315853,48.381744,6.068986,6.166991
0.8768874,49.38065,6.0705857,6.167991
0.9221856,50.37955,6.0721855,6.1689906
0.9674801,51.378452,6.073785,6.1699905
1.0127709,52.377357,6.0753846,6.1709905
1.058058,53.37626,6.0769844,6.1719904
1.1033417,54.375164,6.078584,6.1729903
1.1486217,55.37407,6.080184,6.17399
1.1938982,56.37297,6.081784,6.1749897
1.2391713,57.371876,6.083383,6.1759896
1.2844409,58.37078,6.084983,6.1769896
1.3297071,59.369682,6.0865827,6.177989
1.3749701,60.368587,6.0881824,6.178989
1.4202296,61.367493,6.089782,6.179989
1.4654858,62.366398,6.091382,6.180989
1.5107387,63.365303,6.092982,6.1819887
1.5559884,64.364204,6.094581,6.182988
1.6012349,65.36311,6.096181,6.183988
1.6464782,66.362015,6.0977807,6.184988
1.6917185,67.36092,6.0993805,6.185988
1.7369556,68.35983,6.1009803,6.1869874
1.7821897,69.358734,6.10258,6.1879873
1.827421,70.35764,6.1041794,6.1889873
1.8726493,71.356544,6.105779,6.189987
1.9178748,72.35545,6.107379,6.190987
1.9630975,73.35436,6.1089787,6.1919866
2.0083172,74.353264,6.110776,6.1929865
2.0535343,75.35217,6.1125755,6.1939864
2.0987487,76.35108,6.114375,6.1949863
2.1439605,77.34998,6.1161747,6.195986
2.1891694,78.34889,6.1179743,6.1969857
2.2343757,79.3478,6.119577,6.1979856
2.2795794,80.34671,6.1211767,6.1989856
2.3247805,81.34561,6.1227765,6.1999855
2.3699791,82.34452,6.1243763,6.200985
2.4151752,83.34343,6.125976,6.201985
2.4603689,84.34234,6.1275754,6.202985
2.5055602,85.34125,6.129175,6.2039847
2.5507493,86.34016,6.130775,6.204984
2.5959358,87.33906,6.132375,6.205984
2.6411202,88.33797,6.1339746,6.206984
2.6863024,89.336876,6.1355743,6.207984
2.7314825,90.335785,6.137174,6.208984
2.7766607,91.334694,6.1387734,6.2099833
2.8218365,92.3336,6.140373,6.2109833
2.8670104,93.33251,6.141973,6.211983
2.912182,94.33142,6.143573,6.212983
2.957352,95.33033,6.1451726,6.2139826
3.0025198,96.32924,6.1467724,6.2149825
3.0476856,97.32815,6.1483717,6.2159824
3.0928495,98.32706,6.1499715,6.2169824
3.1380112,99.325966,6.1515713,6.2179823
3.1831713,100.324875,6.153171,6.2189817
3.2283292,101.323784,6.154771,6.2199817
3.2734854,102.32269,6.1563706,6.2209816
3.3186398,103.3216,6.1579704,6.2219815
3.3637924,104.32051,6.1595697,6.2229815
3.4089432,105.31942,6.1611695,6.223981
3.4540925,106.31833,6.1627693,6.224981
3.49924,107.31724,6.164369,6.2259808
3.544386,108.31615,6.165969,6.2269807
3.5895302,109.315056,6.1675687,6.22798
3.6346729,110.31397,6.1691685,6.22898
3.6798139,111.31288,6.170768,6.22998
3.7249534,112.31179,6.1723676,6.23098
3.7700913,113.3107,6.1739674,6.23198
3.8152275,114.30961,6.175567,6.2329793
3.8603623,115.30852,6.177167,6.233979
3.9054954,116.30743,6.1787667,6.234979
3.9506273,117.30634,6.180366,6.235979
3.9957576,118.30525,6.181966,6.2369785
4.040887,119.30416,6.1835656,6.2379785
4.0860143,120.30307,6.1851654,6.2389784
4.1311407,121.30198,6.186765,6.2399783
4.176266,122.300896,6.188365,6.2409782
4.2213902,123.299805,6.189965,6.2419777
4.266513,124.29871,6.191564,6.2429776
4.3116345,125.29762,6.193164,6.2439775
4.356755,126.29654,6.1947637,6.2449775
4.4018736,127.29545,6.1963634,6.2459774
4.4469914,128.29436,6.197963,6.246977
4.4921083,129.29327,6.199563,6.247977
4.537224,130.29218,6.201163,6.2489767
4.5823383,131.29109,6.202762,6.2499766
4.627452,132.29001,6.204362,6.250976
4.672564,133.28891,6.2059617,6.251976
4.7176757,134.28783,6.2075615,6.252976
4.7627864,135.28674,6.2091613,6.253976
4.807896,136.28564,6.210761,6.254976
4.853005,137.28456,6.212361,6.2559752
4.898113,138.28348,6.21396,6.256975
4.9432197,139.28238,6.21556,6.257975
4.988326,140.2813,6.2171597,6.258975
5.0334315,141.28021,6.2187595,6.2599745
5.0785365,142.27911,6.2203593,6.2609744
5.1236405,143.27803,6.221959,6.2619743
5.1687436,144.27695,6.223559,6.2629743
5.213846,145.27585,6.225158,6.263974
5.2589483,146.27477,6.226758,6.2649736
5.3040495,147.27368,6.228358,6.2659736
5.34915,148.27258,6.2299576,6.2669735
5.39425,149.2715,6.2315574,6.2679734
