# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.518788,-0.519763,7.241,7.513
-0.26307464,-1.4863135,7.2239947,7.4757886
-0.0077619995,-2.4529698,7.20699,7.438577
0.24714321,-3.4197338,7.1899843,7.401366
0.5016343,-4.3866067,7.1729794,7.364155
0.7557045,-5.3535905,7.155974,7.3269424
1.009347,-6.3206863,7.1387677,7.288929
1.2625546,-7.287896,7.121562,7.2509155
1.5153201,-8.255222,7.104356,7.2129025
1.7676361,-9.222665,7.0871496,7.174889
2.0194952,-10.190227,7.069944,7.1368766
2.2708907,-11.157909,7.0527368,7.0990615
2.5218167,-12.125713,7.03553,7.0612464
2.772268,-13.093641,7.0183234,7.023432
3.0222394,-14.061692,7.0011168,6.9856167
3.271726,-15.029869,6.9839096,6.9478016
3.5207205,-15.998172,6.966702,6.909985
3.7692115,-16.966604,6.949495,6.8721685
4.017186,-17.93517,6.932287,6.834352
4.2646317,-18.90387,6.9150796,6.7965355
4.5115347,-19.872707,6.897872,6.7587185
4.7578897,-20.841686,6.880664,6.7209005
5.0037184,-21.810797,6.8634553,6.6830826
5.2490487,-22.780035,6.846247,6.645264
5.4939094,-23.749392,6.829039,6.607446
5.73833,-24.718859,6.8118305,6.5696297
5.982342,-25.68843,6.794622,6.532011
6.2259955,-26.65809,6.7774134,6.494392
6.4693456,-27.627829,6.7602043,6.456773
6.7124457,-28.597628,6.7429957,6.4191537
6.9553494,-29.567476,6.7263317,6.382332
7.1981106,-30.537361,6.7531457,6.409146
7.440778,-31.507269,6.7799597,6.43596
7.683399,-32.47719,6.8067737,6.4627733
7.926023,-33.44711,6.8335876,6.4895873
8.168697,-34.417015,6.8602967,6.5163026
8.41147,-35.386894,6.880107,6.536513
8.654392,-36.35674,6.899917,6.5567236
8.897512,-37.326534,6.9197273,6.576934
9.14088,-38.29627,6.9395375,6.5971446
9.384543,-39.265926,6.958951,6.6169615
9.628554,-40.235497,6.9561496,6.6147604
9.872962,-41.204967,6.953348,6.6125593
10.117816,-42.174328,6.9505467,6.610358
10.363166,-43.14356,6.9477453,6.6081567
10.609061,-44.112656,6.944944,6.60596
10.855551,-45.081596,6.9421425,6.603959
11.102684,-46.050377,6.939341,6.601958
11.350506,-47.018982,6.9365396,6.599957
11.599065,-47.987396,6.9337387,6.597956
11.848408,-48.95561,6.9309416,6.5959554
12.098583,-49.923607,6.9283404,6.5939546
12.3496475,-50.891376,6.92574,6.5919538
12.601656,-51.8589,6.9231386,6.589953
12.854665,-52.82616,6.9205375,6.587952
13.108732,-53.793144,6.9179316,6.5859513
13.363899,-54.759842,6.9151306,6.5839505
13.62015,-55.72625,6.91233,6.58195
13.877454,-56.69238,6.909529,6.5799494
14.135785,-57.65823,6.9067283,6.577949
14.395113,-58.623817,6.903928,6.575948
14.655407,-59.589146,6.9011273,6.573948
14.916622,-60.554222,6.898327,6.5719476
15.178713,-61.519066,6.8955264,6.5699472
15.441632,-62.48368,6.892726,6.567947
15.705334,-63.448082,6.8899307,6.5659466
15.969771,-64.41228,6.8873305,6.5639467
16.234905,-65.37629,6.8847303,6.5619464
16.50069,-66.34012,6.88213,6.5599465
16.767086,-67.30378,6.87953,6.557946
17.034052,-68.26728,6.8769245,6.5559464
17.301544,-69.230644,6.8741245,6.553946
17.569523,-70.19386,6.871325,6.551946
17.837942,-71.15696,6.868525,6.5499463
18.106762,-72.11995,6.865725,6.5479465
18.375938,-73.08284,6.862925,6.545941
18.645428,-74.04564,6.860125,6.543741
18.91519,-75.00836,6.8573256,6.5415416
19.185179,-75.97102,6.8545256,6.5393414
19.455357,-76.93363,6.8517256,6.537142
19.725677,-77.896194,6.848926,6.534947
19.996101,-78.858734,6.846126,6.532947
20.266584,-79.82126,6.843326,6.530947
20.537086,-80.783775,6.840526,6.5289474
20.80756,-81.7463,6.8377266,6.5269475
21.077969,-82.70884,6.834932,6.5249476
21.348265,-83.67142,6.8323317,6.522948
21.61841,-84.63403,6.829732,6.5209475
21.88836,-85.5967,6.8271317,6.5189476
22.158072,-86.55944,6.824532,6.5169477
22.427505,-87.522255,6.8219266,6.5149474
22.696627,-88.48516,6.8191266,6.5129476
22.965435,-89.44815,6.816326,6.510947
23.233936,-90.411224,6.8135257,6.508947
23.502138,-91.37439,6.8107257,6.506947
23.770046,-92.33763,6.807925,6.5049467
24.037668,-93.30095,6.8051248,6.5029464
24.305012,-94.26435,6.8023243,6.500946
24.57208,-95.22782,6.799524,6.4989457
24.838882,-96.19137,6.7967234,6.4969454
25.105423,-97.15499,6.7939286,6.494945
25.37171,-98.11868,6.791328,6.4929447
25.637749,-99.08244,6.7887273,6.490944
25.903545,-100.04627,6.7861266,6.4889436
26.169107,-101.01016,6.783526,6.4869432
26.434443,-101.97411,6.7809196,6.4849424
26.699556,-102.938126,6.7781186,6.482942
26.964453,-103.9022,6.775318,6.4809413
27.229143,-104.86633,6.772517,6.478941
27.49363,-105.83052,6.7697163,6.47694
27.757921,-106.79476,6.7669153,6.4749336
28.022022,-107.759056,6.7641144,6.472733
28.285942,-108.7234,6.7613134,6.470532
28.549686,-109.68778,6.7585125,6.4683313
28.813261,-110.65222,6.7557116,6.4661307
29.076672,-111.6167,6.7529173,6.4639363
29.339926,-112.58122,6.750316,6.4619355
29.603031,-113.54579,6.7477155,6.4599347
29.865992,-114.51039,6.7451143,6.457934
30.128817,-115.47504,6.742513,6.4559336
30.39151,-116.43971,6.739906,6.453933
30.654081,-117.40443,6.7371044,6.451932
30.916533,-118.36916,6.7343035,6.449931
31.178875,-119.33394,6.7315025,6.4479303
31.441113,-120.29874,6.7287016,6.4459295
31.703253,-121.263565,6.7259,6.4439287
31.965303,-122.22842,6.723099,6.441928
32.22727,-123.19329,6.7202983,6.439927
