# x_m,y_m,w_tr_right_m,w_tr_left_m
1.223807,-3.456935,7.128,7.143
0.22753993,-3.5415342,7.1297994,7.1441994
-0.76872885,-3.626113,7.1315985,7.1453986
-1.7649994,-3.7106717,7.1333976,7.1465983
-2.7612715,-3.7952106,7.1351967,7.1477976
-3.7575455,-3.8797295,7.136996,7.1489973
-4.753821,-3.9642286,7.1381965,7.150795
-5.750098,-4.0487084,7.139396,7.152594
-6.746377,-4.133168,7.1405954,7.154393
-7.7426577,-4.217609,7.1417947,7.1561923
-8.738939,-4.3020306,7.1429944,7.1579914
-9.735224,-4.3864326,7.1441936,7.1597905
-10.731509,-4.470816,7.145393,7.1615896
-11.727796,-4.55518,7.1465926,7.1633887
-12.724085,-4.6395254,7.147792,7.165188
-13.720375,-4.723852,7.148991,7.166987
-14.716666,-4.8081603,7.150389,7.168786
-15.712959,-4.89245,7.1517887,7.170585
-16.709255,-4.9767213,7.1531878,7.1723843
-17.705551,-5.060974,7.1545873,7.1741834
-18.701849,-5.1452093,7.1559863,7.1759825
-19.698149,-5.2294264,7.157188,7.1777816
-20.694448,-5.313626,7.158387,7.179581
-21.690752,-5.3978076,7.159587,7.1813803
-22.687056,-5.4819717,7.160786,7.1831794
-23.683361,-5.5661182,7.1619854,7.1849785
-24.679668,-5.650247,7.1633825,7.18658
-25.675976,-5.7343583,7.164782,7.188179
-26.672285,-5.818453,7.166181,7.1897783
-27.668598,-5.90253,7.1675806,7.1913776
-28.66491,-5.9865904,7.1689796,7.192977
-29.661224,-6.070634,7.170182,7.194773
-30.65754,-6.1546607,7.1713815,7.1965723
-31.653856,-6.238671,7.172581,7.1983714
-32.650173,-6.3226647,7.1737804,7.2001705
-33.646496,-6.406642,7.1749797,7.2019696
-34.642815,-6.4906034,7.1761794,7.2037687
-35.639137,-6.5745482,7.1773787,7.205568
-36.63546,-6.6584773,7.178578,7.207367
-37.631786,-6.74239,7.1797776,7.209166
-38.628113,-6.8262877,7.180977,7.2109656
-39.62444,-6.910169,7.1823726,7.2127647
-40.62077,-6.9940352,7.1837716,7.214564
-41.6171,-7.077886,7.185171,7.216363
-42.61343,-7.161721,7.1865706,7.218162
-43.609764,-7.2455416,7.1879697,7.219961
-44.6061,-7.329346,7.1891737,7.2217603
-45.602436,-7.4131365,7.190373,7.2235594
-46.59877,-7.4969115,7.191572,7.2253585
-47.595108,-7.580672,7.192772,7.2271576
-48.59145,-7.6644177,7.193971,7.2289567
-49.587788,-7.748149,7.195366,7.230756
-50.58413,-7.831866,7.196765,7.232555
-51.580475,-7.915569,7.1981645,7.234354
-52.576817,-7.999257,7.1995635,7.2361536
-53.573162,-8.0829315,7.200963,7.2379527
-54.569508,-8.166593,7.202168,7.239752
-55.565857,-8.250239,7.203367,7.241551
-56.562206,-8.333873,7.2045665,7.24335
-57.558556,-8.417492,7.205766,7.245149
-58.554905,-8.501099,7.2069654,7.2469482
-59.551258,-8.584691,7.2083592,7.2487473
-60.54761,-8.66827,7.2097583,7.2505465
-61.543964,-8.751837,7.211158,7.2523456
-62.54032,-8.83539,7.212557,7.2541447
-63.536674,-8.91893,7.2139564,7.255944
-64.533035,-9.002458,7.2151623,7.257743
-65.529396,-9.085973,7.2163615,7.2595425
-66.52575,-9.169476,7.217561,7.2613416
-67.52211,-9.252966,7.2187605,7.2631407
-68.51847,-9.336444,7.2199597,7.26494
-69.51484,-9.4199095,7.221159,7.266739
-70.5112,-9.503363,7.2223587,7.268538
-71.50757,-9.586804,7.223558,7.270337
-72.50393,-9.670235,7.2247577,7.272136
-73.5003,-9.753653,7.225957,7.2739353
-74.496666,-9.837059,7.2273493,7.2757344
-75.493034,-9.920454,7.2287483,7.2775335
-76.4894,-10.003838,7.230148,7.2793326
-77.48577,-10.087211,7.231547,7.2811317
-78.48215,-10.170572,7.2329464,7.2829313
-79.478516,-10.253922,7.2341537,7.2847304
-80.47489,-10.337262,7.235353,7.2865295
-81.47127,-10.42059,7.2365522,7.2883286
-82.467636,-10.503908,7.237752,7.2901278
-83.46401,-10.587215,7.238951,7.291927
-84.460396,-10.670513,7.2403426,7.2935343
-85.45677,-10.753799,7.2417417,7.2951336
-86.45315,-10.837075,7.243141,7.296733
-87.44953,-10.9203415,7.2445407,7.2983317
-88.44591,-11.003598,7.2459397,7.299931
-89.44229,-11.086844,7.247148,7.3017216
-90.43867,-11.170082,7.2483473,7.303521
-91.43505,-11.253309,7.2495465,7.3053203
-92.431435,-11.336527,7.2507463,7.3071194
-93.42782,-11.419735,7.2519455,7.3089185
-94.42421,-11.502934,7.253336,7.3107176
-95.42059,-11.586124,7.254735,7.3125167
-96.41698,-11.669306,7.2561345,7.314316
-97.41337,-11.752478,7.257534,7.316115
-98.40975,-11.835641,7.258933,7.317914
-99.40614,-11.918795,7.2601423,7.319713
-100.402534,-12.001941,7.2613416,7.321512
-101.39892,-12.085078,7.2625413,7.323312
-102.39531,-12.168206,7.2637405,7.325111
-103.3917,-12.2513275,7.26494,7.32691
-104.3881,-12.33444,7.2661395,7.328709
-105.38449,-12.417545,7.2673388,7.330508
-106.38088,-12.500642,7.2685385,7.3323073
-107.37727,-12.583731,7.2697377,7.3341064
-108.37367,-12.666813,7.270937,7.3359056
-109.37006,-12.7498865,7.272326,7.3377047
-110.36646,-12.832953,7.2737255,7.3395042
-111.36286,-12.916013,7.2751245,7.3413033
-112.35926,-12.999064,7.276524,7.3431025
-113.35565,-13.082109,7.2779236,7.3449016
-114.35205,-13.165148,7.279134,7.3467007
-115.34845,-13.2481785,7.280333,7.3485
-116.34485,-13.331203,7.281533,7.350299
-117.341255,-13.414222,7.282732,7.352098
-118.337654,-13.497232,7.2839317,7.353897
-119.33405,-13.580238,7.2853193,7.3556967
-120.33045,-13.663237,7.286719,7.357496
-121.32686,-13.74623,7.2881184,7.359295
-122.32326,-13.829217,7.2895174,7.361094
-123.319664,-13.912197,7.290917,7.362893
-124.31606,-13.9951725,7.292128,7.364692
-125.31247,-14.078142,7.293328,7.3664913
-126.308876,-14.161106,7.294527,7.3682904
-127.30528,-14.244064,7.2957263,7.37009
-128.30168,-14.327018,7.296926,7.371889
-129.2981,-14.4099655,7.298313,7.373688
-130.2945,-14.4929085,7.299712,7.3754873
-131.29091,-14.575846,7.3011117,7.3772864
-132.28731,-14.658779,7.302511,7.3790855
-133.28372,-14.741707,7.3039103,7.3808846
-134.28012,-14.824631,7.305123,7.3826838
-135.27654,-14.907551,7.306322,7.3844833
-136.27295,-14.990465,7.3075213,7.3862824
-137.26935,-15.073376,7.308721,7.3880816
-138.26576,-15.156282,7.3099203,7.3898807
-139.26218,-15.239184,7.31112,7.39168
-140.25858,-15.322083,7.3123193,7.393479
-141.25499,-15.404978,7.3135185,7.395278
-142.2514,-15.487868,7.3147182,7.397077
-143.24782,-15.570756,7.3159175,7.3988767
-144.24423,-15.65364,7.317303,7.4004893
-145.24063,-15.73652,7.3187027,7.4020886
-146.23705,-15.819398,7.320102,7.403688
-147.23346,-15.902272,7.3215013,7.4052873
-148.22987,-15.985143,7.322901,7.4068866
-149.22629,-16.068012,7.3241143,7.4086714
-150.2227,-16.150877,7.325314,7.4104705
-151.21912,-16.23374,7.3265133,7.41227
-152.21553,-16.3166,7.3277125,7.414069
-153.21194,-16.399458,7.3289123,7.4158683
-154.20836,-16.482315,7.330297,7.4176674
-155.20477,-16.565168,7.331696,7.4194665
-156.20117,-16.64802,7.3330956,7.4212656
-157.19759,-16.73087,7.334495,7.423065
-158.194,-16.813717,7.335894,7.4248643
-159.19043,-16.896563,7.337109,7.4266634
-160.18684,-16.979408,7.3383083,7.4284625
-161.18326,-17.06225,7.3395076,7.4302616
-162.17967,-17.145092,7.3407073,7.4320607
-163.17609,-17.227932,7.3419065,7.43386
-164.1725,-17.310772,7.3432903,7.4356594
-165.16891,-17.39361,7.34469,7.4374585
-166.16533,-17.476448,7.3460894,7.4392576
-167.16174,-17.559284,7.3474884,7.4410567
-168.15816,-17.64212,7.348888,7.442856
-169.15457,-17.724957,7.3501034,7.444655
-170.15099,-17.80779,7.351303,7.4464545
-171.1474,-17.890625,7.3525023,7.4482536
-172.14381,-17.973461,7.3537016,7.4500527
-173.14023,-18.056295,7.3549013,7.451852
-174.13664,-18.13913,7.3561006,7.453651
-175.13306,-18.221964,7.3573003,7.4554505
-176.12949,-18.304798,7.3584995,7.4572496
-177.1259,-18.387634,7.3596992,7.4590487
-178.12231,-18.47047,7.3608985,7.460848
-179.11873,-18.553307,7.362281,7.462647
-180.11514,-18.636143,7.3636804,7.464446
-181.11156,-18.71898,7.36508,7.4662457
-182.10797,-18.801819,7.3664794,7.4680448
-183.10439,-18.884659,7.3678784,7.469844
-184.1008,-18.9675,7.3690953,7.471643
-185.09721,-19.050343,7.370295,7.473442
-186.09363,-19.133188,7.3714943,7.4752417
-187.09004,-19.216034,7.3726935,7.477041
-188.08646,-19.29888,7.3738933,7.47884
-189.08287,-19.38173,7.3752747,7.480639
-190.07928,-19.46458,7.376674,7.482438
-191.0757,-19.547434,7.3780737,7.4842377
-192.07211,-19.630287,7.3794727,7.486037
-193.06853,-19.713146,7.3808722,7.487836
-194.06494,-19.796005,7.38209,7.489635
-195.06136,-19.878868,7.3832893,7.491434
-196.05777,-19.961733,7.384489,7.4932337
-197.05418,-20.0446,7.3856883,7.495033
-198.05058,-20.12747,7.386888,7.496832
-199.047,-20.210342,7.3880873,7.498631
-200.04341,-20.293219,7.389287,7.50043
-201.03983,-20.376099,7.3904862,7.5022297
-202.03624,-20.458982,7.391686,7.504029
-203.03265,-20.541868,7.392885,7.505828
-204.02905,-20.624758,7.3942657,7.5074463
-205.02547,-20.707651,7.3956647,7.5090456
-206.02188,-20.790548,7.397064,7.510645
-207.0183,-20.87345,7.3984637,7.512244
-208.0147,-20.956354,7.3998632,7.5138435
-209.01111,-21.039263,7.401082,7.515623
-210.00752,-21.122177,7.4022818,7.517422
-211.00392,-21.205093,7.403481,7.519222
-212.00034,-21.288017,7.4046807,7.521021
-212.99673,-21.370943,7.40588,7.52282
-213.99315,-21.453875,7.4072595,7.524619
-214.98955,-21.53681,7.408659,7.5264187
-215.98596,-21.619753,7.410058,7.528218
-216.98236,-21.702698,7.4114575,7.530017
-217.97878,-21.78565,7.412857,7.531816
-218.97517,-21.868607,7.414077,7.533615
-219.97159,-21.951569,7.4152765,7.5354147
-220.96799,-22.034534,7.416476,7.537214
-221.96439,-22.117508,7.4176755,7.539013
-222.9608,-22.200487,7.4188747,7.540812
-223.9572,-22.283472,7.4202533,7.5426116
-224.9536,-22.366463,7.421653,7.5444107
-225.95,-22.449461,7.4230523,7.54621
-226.9464,-22.532463,7.4244514,7.548009
-227.94281,-22.615473,7.425851,7.5498085
-228.93921,-22.698488,7.4270716,7.5516076
-229.93561,-22.78151,7.4282713,7.5534067
-230.932,-22.864538,7.4294705,7.555206
-231.9284,-22.94757,7.4306703,7.5570054
-232.9248,-23.030611,7.4318695,7.5588045
-233.9212,-23.113657,7.433069,7.5606036
-234.9176,-23.19671,7.4342685,7.562403
-235.91399,-23.279768,7.435468,7.5642023
-236.91039,-23.362833,7.4366674,7.5660014
-237.90678,-23.445904,7.437867,7.5678005
-238.90318,-23.52898,7.4392443,7.5696
-239.89957,-23.612062,7.440644,7.571399
-240.89597,-23.69515,7.4420433,7.5731983
-241.89236,-23.778244,7.443443,7.5749974
-242.88875,-23.861343,7.444842,7.576797
-243.88515,-23.944448,7.446064,7.578596
-244.88155,-24.02756,7.4472637,7.580395
-245.87793,-24.110678,7.448463,7.582195
-246.87433,-24.1938,7.4496627,7.583994
-247.87071,-24.276928,7.450862,7.585793
-248.86711,-24.360062,7.4522386,7.587592
-249.8635,-24.443203,7.453638,7.5893917
-250.85988,-24.526348,7.455037,7.591191
-251.85628,-24.609499,7.4564366,7.59299
-252.85266,-24.692656,7.457836,7.594789
-253.84904,-24.775816,7.4590592,7.5965886
-254.84544,-24.858984,7.4602585,7.5983877
-255.84183,-24.942156,7.461458,7.600187
-256.8382,-25.025333,7.4626575,7.6019864
-257.8346,-25.108517,7.463857,7.6037855
-258.831,-25.191706,7.4652324,7.6055846
-259.82736,-25.2749,7.466632,7.607384
-260.82376,-25.358099,7.4680314,7.6091833
-261.82013,-25.441303,7.469431,7.6109824
-262.81653,-25.524513,7.4708304,7.6127815
-263.8129,-25.607727,7.472054,7.614405
-264.8093,-25.690948,7.4732533,7.6160045
-265.80566,-25.774172,7.474453,7.617604
-266.80206,-25.857403,7.4756527,7.619203
-267.79843,-25.940638,7.476852,7.6208024
-268.79483,-26.023878,7.4780517,7.622577
-269.7912,-26.107122,7.479251,7.6243763
-270.78757,-26.190372,7.4804506,7.626176
-271.78397,-26.273628,7.48165,7.627975
-272.78033,-26.356888,7.4828496,7.629774
-273.77673,-26.440153,7.484224,7.631573
-274.7731,-26.523422,7.4856234,7.633373
-275.76947,-26.606697,7.4870224,7.635172
-276.76587,-26.689976,7.488422,7.636971
-277.76224,-26.77326,7.4898214,7.6387706
-278.7586,-26.85655,7.4910464,7.6405697
-279.75497,-26.939842,7.492246,7.642369
-280.75137,-27.02314,7.4934454,7.6441684
-281.74774,-27.106443,7.494645,7.6459675
-282.7441,-27.18975,7.4958444,7.6477666
-283.74048,-27.273062,7.497218,7.6495657
-284.73688,-27.356379,7.498617,7.6513653
-285.73325,-27.4397,7.5000167,7.6531644
-286.7296,-27.523024,7.501416,7.6549635
-287.72598,-27.606354,7.5028157,7.656763
-288.72235,-27.689688,7.5040417,7.658562
-289.71875,-27.773026,7.505241,7.6603613
-290.71512,-27.856369,7.5064406,7.662161
-291.7115,-27.939716,7.50764,7.66396
-292.70786,-28.023067,7.5088396,7.665759
-293.70422,-28.106424,7.510212,7.667558
-294.7006,-28.189783,7.5116115,7.669358
-295.69696,-28.273148,7.513011,7.671157
-296.69333,-28.356516,7.5144105,7.672956
-297.6897,-28.439888,7.5158095,7.6747556
-298.6861,-28.523264,7.5170364,7.6765547
-299.68246,-28.606644,7.5182357,7.678354
-300.67883,-28.69003,7.5194354,7.680153
-301.6752,-28.773417,7.520635,7.6819525
-302.67157,-28.85681,7.5218344,7.6837516
-303.66794,-28.940207,7.523034,7.6855507
-304.6643,-29.023605,7.5242333,7.6873503
-305.66068,-29.10701,7.525433,7.6891494
-306.65704,-29.190418,7.5266323,7.6909485
-307.6534,-29.27383,7.527832,7.692748
-308.64975,-29.357246,7.5292034,7.694547
-309.64612,-29.440664,7.530603,7.6963463
-310.6425,-29.524088,7.532002,7.6981454
-311.63885,-29.607515,7.5334015,7.699945
-312.63522,-29.690945,7.534801,7.701744
-313.6316,-29.77438,7.536029,7.703543
-314.62796,-29.857817,7.5372286,7.705343
-315.62433,-29.94126,7.538428,7.707142
-316.6207,-30.024704,7.5396276,7.708941
-317.61707,-30.108152,7.540827,7.71074
-318.6134,-30.191603,7.542197,7.7125397
-319.60977,-30.275059,7.5435967,7.714339
-320.60614,-30.358517,7.5449963,7.716138
-321.6025,-30.441978,7.546396,7.7179375
-322.59888,-30.525444,7.547795,7.7197366
-323.59525,-30.608913,7.5490236,7.721365
-324.59158,-30.692385,7.5502234,7.7229643
-325.58795,-30.77586,7.5514226,7.7245636
-326.58432,-30.859339,7.5526223,7.726163
-327.5807,-30.94282,7.5538216,7.727762
-328.57703,-31.026306,7.5550213,7.729532
-329.5734,-31.109793,7.5562205,7.7313313
-330.56976,-31.193285,7.5574203,7.7331305
-331.56613,-31.276777,7.5586195,7.7349296
-332.56247,-31.360275,7.559819,7.7367287
-333.55884,-31.443775,7.5611887,7.7385283
-334.5552,-31.527279,7.5625877,7.7403274
-335.55154,-31.610785,7.5639873,7.7421265
-336.5479,-31.694294,7.565387,7.7439256
-337.54428,-31.777805,7.5667863,7.745725
-338.54065,-31.86132,7.568016,7.7475243
-339.537,-31.944838,7.569216,7.7493234
-340.53336,-32.02836,7.570415,7.7511225
-341.52972,-32.11188,7.5716147,7.752922
-342.52606,-32.195408,7.572814,7.754721
-343.52243,-32.278934,7.5741825,7.7565203
-344.51877,-32.36247,7.575582,7.7583194
-345.51514,-32.446003,7.576981,7.760119
-346.5115,-32.529537,7.5783806,7.761918
-347.50784,-32.61308,7.57978,7.763717
-348.5042,-32.696617,7.581011,7.7655163
-349.50058,-32.780163,7.5822105,7.767316
-350.49692,-32.86371,7.58341,7.769115
-351.4933,-32.947258,7.5846095,7.770914
-352.48962,-33.03081,7.5858088,7.772713
-353.486,-33.114365,7.5871763,7.774513
-354.48233,-33.19792,7.588576,7.776312
-355.4787,-33.28148,7.5899754,7.778111
-356.47504,-33.36504,7.5913744,7.77991
-357.4714,-33.448605,7.592774,7.781709
-358.46777,-33.53217,7.5940056,7.783509
-359.4641,-33.615738,7.5952053,7.785308
-360.46048,-33.699306,7.5964046,7.787107
-361.45682,-33.78288,7.5976043,7.788906
-362.4532,-33.86645,7.5988035,7.790705
-363.44952,-33.950027,7.6000032,7.792505
-364.4459,-34.033607,7.6012025,7.794304
-365.44223,-34.117188,7.602402,7.796103
-366.4386,-34.20077,7.6036015,7.797902
-367.43494,-34.284355,7.604801,7.799701
-368.4313,-34.367943,7.6061673,7.801501
-369.42764,-34.45153,7.6075664,7.8033
-370.424,-34.53512,7.608966,7.805099
-371.42035,-34.61871,7.6103654,7.806898
-372.41672,-34.702305,7.6117644,7.808697
-373.41306,-34.7859,7.6129975,7.810497
-374.4094,-34.8695,7.6141973,7.812296
-375.40576,-34.9531,7.6153965,7.814095
-376.4021,-35.036697,7.616596,7.815894
-377.39847,-35.1203,7.6177955,7.817693
-378.3948,-35.203903,7.6191607,7.8194923
