# x_m,y_m,w_tr_right_m,w_tr_left_m
0.057223,-0.024722,6.915,6.766
-0.92120636,-0.23076105,6.913,6.751001
-1.8996321,-0.43681723,6.9110003,6.7360015
-2.8780534,-0.6428944,6.9090004,6.7210026
-3.8564696,-0.84899646,6.9070005,6.706003
-4.8348794,-1.0551274,6.9050007,6.6910043
-5.8132825,-1.261291,6.9028006,6.676205
-6.791678,-1.4674913,6.900601,6.661406
-7.770065,-1.6737322,6.898401,6.646607
-8.748443,-1.8800175,6.896201,6.631808
-9.7268095,-2.0863512,6.8940015,6.6170087
-10.705166,-2.2927372,6.892001,6.6022096
-11.68351,-2.4991796,6.8900013,6.5874104
-12.661841,-2.705682,6.8880014,6.5726113
-13.64016,-2.9122486,6.8860016,6.557812
-14.6184635,-3.118883,6.8840017,6.5430136
-15.596752,-3.3255892,6.8824015,6.5338087
-16.575026,-3.532371,6.8808017,6.5246096
-17.55328,-3.7392328,6.879202,6.51541
-18.531519,-3.946178,6.8776016,6.506211
-19.509739,-4.1532106,6.876002,6.497011
-20.487938,-4.360335,6.8758,6.498997
-21.466118,-4.567554,6.8756003,6.500997
-22.444279,-4.774873,6.8754,6.5029974
-23.422415,-4.9822946,6.8752003,6.5049973
-24.40053,-5.189823,6.8750005,6.506997
-25.37862,-5.397463,6.8748,6.508797
-26.356688,-5.6052175,6.8746004,6.510597
-27.334728,-5.8130903,6.8744,6.512397
-28.312744,-6.021086,6.8742003,6.514197
-29.290731,-6.229209,6.8740005,6.5159965
-30.268692,-6.437462,6.8738003,6.5179963
-31.246624,-6.645849,6.8736005,6.519996
-32.224525,-6.8543754,6.8734,6.521996
-33.2024,-7.063043,6.8732004,6.523996
-34.18024,-7.2718573,6.8730006,6.5259957
-35.158047,-7.480821,6.8728004,6.5279956
-36.135826,-7.6899385,6.8726006,6.5299954
-37.113567,-7.8992143,6.8724003,6.5319953
-38.091274,-8.108651,6.8722005,6.533995
-39.068947,-8.318254,6.8720007,6.5359955
-40.04658,-8.528027,6.8718004,6.5377955
-41.02418,-8.737966,6.8716006,6.5395956
-42.001747,-8.948071,6.8714004,6.5413957
-42.979275,-9.1583395,6.8712006,6.5431952
-43.956768,-9.368771,6.8710003,6.5449953
-44.93423,-9.579362,6.870601,6.5469947
-45.911655,-9.790111,6.870201,6.5489945
-46.889046,-10.001016,6.869801,6.550995
-47.866405,-10.212074,6.869401,6.5529947
-48.84373,-10.4232855,6.869001,6.5549946
-49.821026,-10.634647,6.8688006,6.556795
-50.798286,-10.846157,6.8686004,6.558595
-51.775517,-11.057814,6.8684006,6.560395
-52.752716,-11.269614,6.868201,6.562195
-53.72988,-11.481557,6.8680005,6.563995
-54.70702,-11.693641,6.8678007,6.5659943
-55.684124,-11.905862,6.8676004,6.567994
-56.6612,-12.11822,6.8674006,6.569994
-57.638252,-12.330713,6.8672004,6.571994
-58.61527,-12.543339,6.8670006,6.573994
-59.592262,-12.756095,6.866801,6.575994
-60.569225,-12.96898,6.8666005,6.577994
-61.546158,-13.181992,6.8664007,6.5799937
-62.523067,-13.395127,6.8662004,6.581994
-63.499947,-13.608387,6.8660007,6.583994
-64.4768,-13.821768,6.865801,6.5857944
-65.45363,-14.035268,6.8656006,6.5875945
-66.430435,-14.248884,6.865401,6.5893946
-67.40721,-14.462616,6.8652005,6.591194
-68.383965,-14.676461,6.8650007,6.592994
-69.360695,-14.890417,6.864601,6.5949936
-70.337395,-15.104482,6.864201,6.5969934
-71.31408,-15.318654,6.8638015,6.598994
-72.29074,-15.532932,6.8634014,6.6009936
-73.26737,-15.7473135,6.8630013,6.6029935
-74.24399,-15.961797,6.8628006,6.604794
-75.22057,-16.176378,6.862601,6.606594
-76.19714,-16.39106,6.8624005,6.608394
-77.1737,-16.605835,6.8622007,6.610194
-78.15022,-16.820704,6.8620005,6.6119943
-79.12673,-17.035666,6.8618007,6.6139936
-80.10322,-17.250717,6.861601,6.6159935
-81.07969,-17.465855,6.8614006,6.6179934
-82.05614,-17.68108,6.861201,6.619993
-83.03257,-17.896389,6.8610005,6.6219935
-84.00898,-18.11178,6.8608007,6.623794
-84.98538,-18.327251,6.8606005,6.625594
-85.961754,-18.542799,6.8604007,6.627394
-86.93812,-18.758425,6.860201,6.629194
-87.91447,-18.974123,6.8600006,6.630994
-88.89079,-19.189896,6.859801,6.632993
-89.8671,-19.405737,6.8596005,6.634993
-90.84341,-19.621647,6.8594007,6.6369934
-91.81969,-19.837624,6.8592005,6.6389933
-92.79596,-20.053665,6.8590007,6.640993
-93.77222,-20.26977,6.8586016,6.6429935
-94.74846,-20.485933,6.8582015,6.6449933
-95.724686,-20.702156,6.8578014,6.646993
-96.700905,-20.918436,6.8574014,6.648993
-97.67711,-21.134771,6.8570013,6.6509933
-98.6533,-21.351158,6.8568006,6.652794
-99.629486,-21.567596,6.8566008,6.654594
-100.60565,-21.784084,6.8564005,6.656394
-101.58181,-22.000618,6.8562007,6.658194
-102.55796,-22.217197,6.856001,6.6599936
-103.5341,-22.43382,6.8558006,6.661993
-104.51024,-22.650484,6.855601,6.6639934
-105.48636,-22.867186,6.8554006,6.665993
-106.46247,-23.083925,6.855201,6.667993
-107.43858,-23.300701,6.8550005,6.669993
-108.41468,-23.51751,6.8548007,6.671794
-109.39077,-23.73435,6.854601,6.673594
-110.36686,-23.95122,6.8544006,6.675394
-111.34294,-24.168118,6.854201,6.6771936
-112.319016,-24.38504,6.8540006,6.6789937
-113.29508,-24.601986,6.853801,6.680993
-114.27115,-24.818954,6.8536005,6.682993
-115.24721,-25.035944,6.8534007,6.6849933
-116.22326,-25.252949,6.853201,6.686993
-117.19931,-25.46997,6.8530006,6.688993
-118.17536,-25.687006,6.8526015,6.690794
-119.151405,-25.904055,6.8522015,6.6925936
-120.12745,-26.121113,6.8518014,6.6943936
-121.10349,-26.338179,6.8514013,6.6961937
-122.07954,-26.55525,6.8510013,6.6979938
-123.05557,-26.772326,6.8508005,6.699993
-124.03162,-26.989405,6.8506007,6.701993
-125.00765,-27.206484,6.850401,6.7039933
-125.983696,-27.423561,6.8502007,6.705993
-126.95973,-27.640635,6.850001,6.707993
-127.935776,-27.857704,6.8498006,6.709993
-128.91182,-28.074764,6.849601,6.711993
-129.88786,-28.291817,6.8494005,6.713993
-130.8639,-28.508856,6.8492007,6.715993
-131.83997,-28.725883,6.8490005,6.7179933
-132.81602,-28.942894,6.8488007,6.719794
-133.79207,-29.15989,6.848601,6.721594
-134.76814,-29.376863,6.8484006,6.723394
-135.7442,-29.593819,6.848201,6.725194
-136.72028,-29.81075,6.8480005,6.726994
-137.69635,-30.027657,6.8478007,6.728993
-138.67244,-30.244535,6.8476005,6.7309933
-139.64853,-30.461388,6.8474007,6.732993
-140.62462,-30.678207,6.847201,6.734993
-141.60072,-30.894995,6.8470006,6.7369933
-142.57684,-31.111748,6.846801,6.738794
-143.55296,-31.328463,6.8466005,6.740594
-144.52908,-31.545141,6.8464007,6.742394
-145.50523,-31.761778,6.8462005,6.744194
-146.48137,-31.978373,6.8460007,6.7459936
-147.45753,-32.194923,6.8456016,6.747993
-148.4337,-32.411427,6.8452015,6.7499933
-149.40988,-32.627884,6.8448014,6.751993
-150.38606,-32.844288,6.8444014,6.753993
-151.36226,-33.060642,6.8440013,6.7559934
-152.33849,-33.27694,6.8438005,6.757794
-153.3147,-33.493183,6.8436007,6.759594
-154.29094,-33.70937,6.8434005,6.761394
