# x_m,y_m,w_tr_right_m,w_tr_left_m
3.439354,-0.495322,6.556,6.536
4.0255394,0.31472236,6.5564,6.5362
4.6117167,1.1247725,6.5568,6.5364
5.197886,1.9348285,6.5572,6.5366
5.7840476,2.7448902,6.5575995,6.5368
6.370201,3.5549576,6.5579996,6.5369997
6.956347,4.3650303,6.5583997,6.5372
7.5424857,5.175109,6.5587993,6.5374
8.128616,5.985193,6.5591993,6.5375996
8.71474,6.795282,6.5595994,6.5378
9.300857,7.6053762,6.5599995,6.5379996
9.886965,8.415476,6.560399,6.5381994
10.473067,9.225581,6.560799,6.5383997
11.059162,10.03569,6.561199,6.5385995
11.645249,10.845806,6.561599,6.5387993
12.231331,11.655926,6.561999,6.5389996
12.817405,12.46605,6.562399,6.5391994
13.403472,13.27618,6.562799,6.5393996
13.989533,14.086314,6.5631986,6.5395994
14.575588,14.896454,6.5635986,6.539799
15.161636,15.706597,6.5639987,6.5399995
15.747678,16.516745,6.564399,6.5401993
16.333714,17.326899,6.5647984,6.540399
16.919743,18.137054,6.5651984,6.5405993
17.505768,18.947216,6.5655985,6.540799
18.091785,19.757381,6.5659986,6.5409994
18.677797,20.567553,6.5663986,6.5413985
19.263802,21.377726,6.566798,6.5417986
19.849802,22.187904,6.5671983,6.542198
20.435797,22.998087,6.5675983,6.5425982
21.021788,23.808273,6.5679984,6.5429983
21.60777,24.618464,6.5685973,6.543199
22.19375,25.428658,6.569197,6.543399
22.779724,26.238855,6.569797,6.543599
23.365692,27.049055,6.570397,6.543799
23.951656,27.85926,6.570997,6.543999
24.537615,28.66947,6.5713983,6.544199
25.123568,29.479681,6.571798,6.544399
25.709517,30.289896,6.572198,6.544599
26.295462,31.100115,6.572598,6.544799
26.881401,31.910337,6.572998,6.544999
27.467337,32.720562,6.5733976,6.545199
28.053268,33.53079,6.5737977,6.5453987
28.639194,34.341022,6.574198,6.545599
29.225119,35.151257,6.574598,6.545799
29.811037,35.961494,6.574998,6.545999
30.396952,36.771732,6.5753975,6.546199
30.982862,37.581978,6.5757976,6.5463986
31.56877,38.392223,6.5761976,6.546599
32.15467,39.202473,6.5765977,6.5467987
32.74057,40.012722,6.5769978,6.546999
33.32647,40.822975,6.5773973,6.547199
33.91236,41.633232,6.5777974,6.5473986
34.49825,42.44349,6.5781975,6.547599
35.084137,43.25375,6.5785975,6.5477986
35.67002,44.064014,6.5789976,6.547999
36.2559,44.87428,6.579397,6.5481987
36.841778,45.684547,6.5797973,6.5483985
37.42765,46.494816,6.5801973,6.548599
38.013523,47.305088,6.5805974,6.5487986
38.599392,48.11536,6.5809975,6.548999
39.185257,48.925636,6.581397,6.5491986
39.771122,49.735912,6.581797,6.5493984
40.356983,50.546192,6.582197,6.5495987
40.94284,51.356472,6.5825973,6.5497985
41.528698,52.16675,6.5829973,6.5499988
42.114555,52.977036,6.583397,6.5501986
42.700405,53.787323,6.583797,6.5503983
43.28626,54.59761,6.584197,6.5505986
43.872105,55.407898,6.584597,6.5507984
44.457954,56.218185,6.5849967,6.5509987
45.043797,57.028477,6.585397,6.5511985
45.62964,57.838768,6.585797,6.5513983
46.21548,58.649063,6.586197,6.5515985
46.80132,59.45936,6.586597,6.5517983
47.387157,60.269653,6.5869966,6.551998
47.972992,61.079952,6.5873966,6.5521984
48.558826,61.89025,6.5877967,6.552398
49.14466,62.70055,6.5881968,6.5525985
49.73049,63.51085,6.5885963,6.5527983
50.31632,64.32115,6.5889964,6.552998
50.902145,65.131454,6.5893965,6.553396
51.487972,65.94176,6.5897965,6.5537963
52.0738,66.75207,6.590196,6.5541964
52.659622,67.56237,6.590596,6.5545964
53.24544,68.37268,6.5909963,6.5549965
53.83126,69.18299,6.591594,6.555198
54.41708,69.99329,6.592194,6.555398
55.0029,70.803604,6.5927944,6.5555983
55.588715,71.61392,6.5933943,6.555798
56.17453,72.42423,6.593994,6.555998
56.760345,73.23454,6.594396,6.556198
57.346157,74.04486,6.5947957,6.556398
57.93197,74.85517,6.595196,6.5565977
58.51778,75.66549,6.595596,6.556798
59.103592,76.4758,6.595996,6.556998
59.6894,77.28612,6.596396,6.557198
60.275208,78.096436,6.5967956,6.557398
60.86101,78.90675,6.5971956,6.5575976
61.44682,79.71707,6.5975957,6.557798
62.032623,80.5274,6.5979958,6.5579977
62.618427,81.337715,6.5983953,6.5581975
63.20423,82.14803,6.5987954,6.558398
63.790035,82.95836,6.5991955,6.5585976
64.37584,83.76868,6.599595,6.558798
64.96164,84.579,6.599995,6.5589976
65.54744,85.38932,6.600395,6.5591974
66.13324,86.199646,6.6007953,6.5593977
66.71904,87.00997,6.601195,6.5595975
67.30484,87.82029,6.601595,6.5597973
67.89064,88.630615,6.601995,6.5599976
68.47643,89.44094,6.602395,6.5601974
69.06223,90.25127,6.6027946,6.5603976
69.64803,91.06159,6.6031947,6.5605974
70.233826,91.87192,6.603595,6.560797
70.819626,92.68224,6.603995,6.5609975
71.40542,93.49257,6.6043944,6.5611973
71.99122,94.302895,6.6047945,6.561397
72.57701,95.11322,6.6051946,6.5615973
73.16281,95.923546,6.6055946,6.561797
73.748604,96.73387,6.605994,6.5619974
74.334404,97.5442,6.6063943,6.562197
74.9202,98.35452,6.6067944,6.562397
75.506,99.16485,6.6071944,6.5625973
76.09179,99.975174,6.607594,6.562797
76.67759,100.7855,6.607994,6.562997
77.26338,101.595825,6.608394,6.563197
77.84918,102.40615,6.6087937,6.563397
78.434975,103.21648,6.609194,6.5635967
79.020775,104.0268,6.609594,6.563797
79.60657,104.83713,6.609994,6.563997
80.19237,105.64745,6.6103935,6.564197
80.77817,106.45778,6.6107936,6.564397
81.36396,107.268105,6.6111937,6.5645967
81.94976,108.07842,6.6115937,6.564797
82.53556,108.88875,6.6119933,6.5649967
83.12136,109.69907,6.6123934,6.5653934
83.70716,110.5094,6.6127934,6.5657935
84.29296,111.31972,6.613193,6.566193
84.87876,112.13004,6.613593,6.566593
85.46456,112.94036,6.613993,6.566993
86.05037,113.75069,6.614393,6.5671964
86.63617,114.561005,6.614793,6.5673966
87.22198,115.37132,6.615193,6.5675964
87.80778,116.18164,6.615593,6.567796
88.393585,116.99197,6.615993,6.5679965
88.97939,117.802284,6.616589,6.5681963
89.5652,118.6126,6.617189,6.568396
90.15101,119.42291,6.617789,6.5685964
90.73682,120.23323,6.6183887,6.568796
91.32263,121.04355,6.6189885,6.5689964
91.90844,121.85386,6.6193924,6.569196
92.494255,122.66418,6.6197925,6.569396
93.08007,123.47449,6.620192,6.5695963
93.665886,124.2848,6.620592,6.569796
94.2517,125.095116,6.620992,6.569996
94.83752,125.905426,6.6213923,6.570196
95.42333,126.71573,6.621792,6.570396
96.009155,127.52604,6.622192,6.5705957
96.59498,128.33635,6.622592,6.570796
97.1808,129.14665,6.6229916,6.570996
97.766624,129.95695,6.6233916,6.571196
98.35245,130.76727,6.6237917,6.571396
98.93828,131.57758,6.6241918,6.5715957
99.52411,132.38788,6.6245914,6.571796
100.10994,133.19817,6.6249914,6.5719957
100.69577,134.00847,6.6253915,6.5721955
101.2816,134.81877,6.6257915,6.572396
101.86744,135.62907,6.626191,6.5725956
102.45328,136.43936,6.626591,6.5727954
103.039116,137.24966,6.6269913,6.5729957
103.624954,138.05995,6.627391,6.5731955
104.21079,138.87024,6.627791,6.5733957
104.79664,139.68054,6.628191,6.5735955
105.382484,140.49083,6.628591,6.5737953
105.96834,141.30112,6.6289907,6.5739956
106.554184,142.1114,6.6293907,6.5741954
107.14004,142.92169,6.629791,6.574395
107.72589,143.73196,6.6301904,6.5745955
108.31175,144.54225,6.6305904,6.5747952
108.897606,145.35254,6.6309905,6.574995
109.48347,146.16281,6.6313906,6.5751953
110.06933,146.97308,6.63179,6.575395
110.6552,147.78337,6.63219,6.575595
111.241066,148.59364,6.6325903,6.575795
111.826935,149.40392,6.6329904,6.575995
112.4128,150.21419,6.63339,6.5761952
112.99868,151.02446,6.63379,6.576395
113.58456,151.83472,6.63419,6.576595
114.17044,152.64499,6.6345897,6.576795
114.75632,153.45525,6.6349897,6.576995
115.3422,154.26552,6.63539,6.5773897
115.92809,155.07578,6.63579,6.57779
116.513985,155.88603,6.6361895,6.5781894
117.09988,156.69629,6.6365895,6.5785894
117.68577,157.50655,6.6369896,6.5789895
118.27167,158.31679,6.637389,6.5791945
