# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.384359,0.95602,6.439,7.198
-1.9207819,0.11207813,6.4396,7.1981997
-2.4572287,-0.73184854,6.4402,7.1984
-2.993699,-1.5757602,6.4407997,7.1986
-3.5301926,-2.419657,6.4413996,7.1988
-4.066709,-3.2635396,6.4419994,7.199
-4.603248,-4.1074076,6.4423995,7.199
-5.139809,-4.9512615,6.4427996,7.199
-5.676392,-5.7951016,6.4431996,7.199
-6.2129965,-6.638928,6.4435997,7.199
-6.7496223,-7.482741,6.4439993,7.199
-7.286269,-8.32654,6.4443994,7.199
-7.822936,-9.170327,6.4447994,7.199
-8.359624,-10.0141,6.445199,7.199
-8.896331,-10.8578615,6.445599,7.199
-9.433058,-11.70161,6.445999,7.199
-9.969804,-12.545346,6.4465985,7.199
-10.506568,-13.3890705,6.4471984,7.199
-11.043351,-14.232783,6.4477983,7.199
-11.5801525,-15.076485,6.448398,7.199
-12.116972,-15.920175,6.448998,7.199
-12.653809,-16.763853,6.4493985,7.199
-13.190662,-17.607521,6.4497986,7.199
-13.727533,-18.451178,6.450198,7.199
-14.26442,-19.294825,6.4505982,7.199
-14.801323,-20.138462,6.4509983,7.199
-15.338243,-20.982088,6.451398,7.199
-15.875176,-21.825705,6.451798,7.199
-16.412127,-22.669312,6.452198,7.199
-16.949091,-23.512909,6.4525976,7.199
-17.48607,-24.356497,6.4529977,7.199
-18.023064,-25.200075,6.453596,7.199
-18.56007,-26.043646,6.454196,7.199
-19.09709,-26.887207,6.454796,7.199
-19.634123,-27.73076,6.4553957,7.199
-20.17117,-28.574306,6.4559956,7.199
-20.70823,-29.417845,6.456397,7.199
-21.245298,-30.261374,6.4567966,7.199
-21.782381,-31.104897,6.4571967,7.199
-22.319475,-31.94841,6.457597,7.199
-22.85658,-32.79192,6.4579964,7.199
-23.393696,-33.635418,6.4583964,7.199
-23.930822,-34.478912,6.458796,7.199
-24.467958,-35.322403,6.459196,7.199
-25.005106,-36.165882,6.459596,7.199
-25.542261,-37.009357,6.4599957,7.199
-26.079426,-37.85283,6.4605937,7.199
-26.616598,-38.696293,6.4611936,7.199
-27.15378,-39.539753,6.4617934,7.199
-27.690971,-40.383205,6.4623933,7.199
-28.228168,-41.226654,6.4629927,7.199
-28.765373,-42.0701,6.463395,7.199
-29.302586,-42.91354,6.463795,7.199
