# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.223388,2.075766,6.687,6.853
-0.75627506,2.9219127,6.6882005,6.8519998
-1.2891059,3.7680948,6.6894007,6.8509994
-1.821881,4.6143117,6.690601,6.8499994
-2.354601,5.4605637,6.691801,6.848999
-2.8872662,6.30685,6.6930013,6.847999
-3.419877,7.1531706,6.694001,6.8469987
-3.9524343,7.9995246,6.6950016,6.8459983
-4.4849386,8.845912,6.696002,6.8449984
-5.0173903,9.692333,6.697002,6.843998
-5.5497894,10.538787,6.698003,6.842998
-6.0821376,11.385273,6.699203,6.842198
-6.6144342,12.231791,6.700403,6.841398
-7.146681,13.078341,6.7016034,6.8405976
-7.6788774,13.924922,6.7028036,6.8397975
-8.211024,14.771534,6.7040033,6.8389964
-8.743122,15.618177,6.7050037,6.8379965
-9.275171,16.464851,6.7060037,6.836996
-9.807173,17.311554,6.707004,6.8359957
-10.339127,18.158287,6.7080045,6.8349957
-10.871035,19.00505,6.7090054,6.8339953
-11.402895,19.851843,6.7102056,6.8329954
-11.9347105,20.698664,6.711406,6.831995
-12.46648,21.545513,6.7126064,6.8309946
-12.998206,22.39239,6.7138066,6.8299947
-13.529887,23.239294,6.715006,6.828995
-14.061524,24.086227,6.716006,6.828195
-14.593119,24.933187,6.717006,6.827395
-15.12467,25.780172,6.7180066,6.826595
-15.65618,26.627186,6.7190065,6.8257947
-16.187649,27.474224,6.720007,6.824993
-16.719076,28.32129,6.7210073,6.8239927
-17.250462,29.168379,6.7220073,6.822993
-17.781809,30.015493,6.7230077,6.8219924
-18.313114,30.862633,6.724008,6.820992
-18.844383,31.709797,6.72501,6.819992
-19.375612,32.556984,6.72621,6.8189917
-19.906805,33.404198,6.7274103,6.8179913
-20.43796,34.25143,6.7286105,6.8169913
-20.969076,35.09869,6.7298107,6.815991
-21.500158,35.945972,6.7310095,6.8149924
-22.031204,36.793274,6.7320094,6.8141923
-22.562214,37.640602,6.73301,6.813392
-23.09319,38.48795,6.73401,6.812592
-23.62413,39.335316,6.73501,6.811792
-24.155039,40.18271,6.7360125,6.8109894
-24.685913,41.030117,6.7372127,6.8099895
-25.216757,41.87755,6.7384133,6.808989
-25.747566,42.725,6.7396135,6.8079886
-26.278345,43.57247,6.7408137,6.8069887
