# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.208178,-0.934589,6.167,5.97
-2.1738713,-1.1941899,6.165399,5.9685993
-3.1395657,-1.4537873,6.1637983,5.9671984
-4.105261,-1.7133815,6.1621976,5.965798
-5.0709567,-1.9729728,6.160597,5.964397
-6.0366535,-2.2325613,6.1589956,5.962997
-7.002351,-2.492147,6.157395,5.9617963
-7.968049,-2.7517304,6.155794,5.9605956
-8.933747,-3.0113115,6.1541934,5.959395
-9.8994465,-3.2708905,6.1525927,5.9581943
-10.865147,-3.5304675,6.1509914,5.9569936
-11.830847,-3.7900429,6.1493907,5.955793
-12.796548,-4.0496163,6.14779,5.9545927
-13.762248,-4.309189,6.146189,5.953392
-14.72795,-4.56876,6.1445885,5.9521914
-15.693651,-4.82833,6.1429873,5.9509907
-16.659353,-5.0878997,6.1413865,5.94979
-17.625055,-5.3474684,6.139786,5.9485893
-18.590757,-5.607037,6.138185,5.9473886
-19.55646,-5.8666053,6.1365843,5.946188
-20.522161,-6.1261735,6.134983,5.9449854
-21.487864,-6.3857417,6.1333823,5.9435844
-22.453566,-6.6453104,6.1317816,5.942184
-23.419268,-6.904879,6.130181,5.940783
-24.38497,-7.1644487,6.12858,5.9393826
-25.350672,-7.4240193,6.126979,5.9379845
-26.316372,-7.6835904,6.125378,5.936784
-27.282074,-7.9431634,6.1237774,5.935583
-28.247774,-8.202738,6.1221766,5.9343824
-29.213474,-8.462313,6.1205754,5.933182
-30.179173,-8.72189,6.1189747,5.931981
-31.144873,-8.98147,6.117374,5.9307804
-32.11057,-9.241053,6.115773,5.9295797
-33.076267,-9.500636,6.114172,5.928379
-34.041965,-9.760222,6.1125712,5.9271784
-35.007664,-10.019813,6.1109705,5.9259777
-35.97336,-10.279405,6.1093698,5.924777
-36.939053,-10.539,6.1077685,5.9235764
-37.904747,-10.798597,6.106168,5.9223757
-38.87044,-11.058199,6.104567,5.921175
-39.836132,-11.317804,6.102966,5.9199705
-40.801823,-11.577414,6.101365,5.9185696
-41.767513,-11.837028,6.0997643,5.9171686
-42.733204,-12.096644,6.0981636,5.915768
-43.69889,-12.356264,6.0965624,5.914367
-44.664577,-12.615889,6.0949616,5.912971
-45.630264,-12.875517,6.093361,5.9117703
-46.595947,-13.135148,6.0917597,5.9105697
-47.561634,-13.394783,6.090159,5.909369
-48.527317,-13.654422,6.088558,5.9081683
-49.493,-13.914063,6.086957,5.906968
-50.45868,-14.173709,6.085356,5.9057674
-51.424362,-14.433358,6.0837555,5.9045663
-52.39004,-14.69301,6.0821543,5.9033656
-53.355717,-14.952666,6.0805535,5.902165
-54.321396,-15.212326,6.078953,5.9009643
-55.28707,-15.471989,6.0773516,5.8997636
-56.25275,-15.731654,6.075751,5.898563
-57.218422,-15.991324,6.07415,5.897362
-58.184097,-16.250998,6.072549,5.8961616
-59.14977,-16.510674,6.070948,5.8949547
-60.115444,-16.770353,6.0693474,5.8935537
-61.081116,-17.030035,6.067746,5.892153
-62.046783,-17.28972,6.0661454,5.8907523
-63.012455,-17.54941,6.064544,5.8893514
-63.978123,-17.809103,6.0629506,5.8879576
-64.943794,-18.068798,6.0615497,5.886757
-65.909454,-18.328497,6.0601487,5.885556
-66.87512,-18.5882,6.0587482,5.8843555
-67.84079,-18.847904,6.0573473,5.883155
-68.80646,-19.107613,6.0559387,5.881954
-69.77212,-19.367323,6.054338,5.8807535
-70.73778,-19.627037,6.0527368,5.879553
-71.703445,-19.886753,6.051136,5.878352
-72.669106,-20.146473,6.049535,5.8771515
-73.634766,-20.406195,6.047934,5.875942
-74.600426,-20.66592,6.0463333,5.8745413
-75.566086,-20.92565,6.044732,5.873141
-76.53174,-21.18538,6.0431314,5.87174
