# x_m,y_m,w_tr_right_m,w_tr_left_m
2.294259,-5.204053,6.746,6.854
3.2857034,-5.0747275,6.7206135,6.854
4.277156,-4.9454618,6.695227,6.854
5.2686157,-4.816256,6.669841,6.854
6.2600837,-4.6871095,6.6444545,6.854
7.251559,-4.5580225,6.619068,6.854
8.243042,-4.428994,6.6044474,6.853003
9.234533,-4.3000245,6.589855,6.8520036
10.226031,-4.1711135,6.575263,6.851004
11.217537,-4.04226,6.5606713,6.8500047
12.209051,-3.913465,6.546079,6.849005
13.200572,-3.7847273,6.5465965,6.846813
14.1921,-3.6560469,6.547196,6.8446145
15.183636,-3.5274234,6.547796,6.842416
16.175179,-3.3988566,6.5483956,6.8402166
17.166729,-3.2703464,6.548995,6.838018
18.158287,-3.1418922,6.5493965,6.8358192
19.149853,-3.013494,6.549796,6.8336205
20.141424,-2.8851514,6.550196,6.831422
21.133003,-2.7568643,6.5505958,6.829223
22.12459,-2.628632,6.550996,6.8270245
23.116184,-2.500455,6.551593,6.8248253
24.107784,-2.3723323,6.5521927,6.8226266
25.099392,-2.2442641,6.5527925,6.820428
26.091005,-2.1162498,6.553392,6.818229
27.082628,-1.9882894,6.553992,6.8160305
28.074257,-1.8603824,6.5543942,6.813635
29.065891,-1.7325287,6.554794,6.811236
30.057533,-1.604728,6.555194,6.8088374
31.049183,-1.47698,6.5555935,6.806439
32.040836,-1.3492845,6.555993,6.8040404
33.0325,-1.2216414,6.5565896,6.801838
34.02417,-1.0940503,6.5571895,6.799639
35.015846,-0.96651083,6.557789,6.7974405
36.007526,-0.8390227,6.5583887,6.795242
36.999218,-0.7115856,6.558988,6.793043
37.990913,-0.58419913,6.559392,6.7908444
38.982613,-0.45686316,6.5597916,6.7886457
39.974323,-0.32957745,6.5601916,6.786447
40.966038,-0.20234178,6.560591,6.7842484
41.95776,-0.0751559,6.560991,6.7820497
42.949486,0.051980387,6.561391,6.779851
43.94122,0.17906737,6.5617905,6.7776523
44.93296,0.30610535,6.56219,6.7754536
45.924706,0.43309462,6.56259,6.773255
46.91646,0.5600355,6.5629897,6.771056
47.90822,0.6869283,6.5635843,6.7688575
48.899982,0.81377316,6.5641837,6.766659
49.891754,0.9405704,6.5647836,6.76446
50.88353,1.0673203,6.5653834,6.7622614
51.875313,1.1940231,6.565983,6.7600627
52.867104,1.3206791,6.566388,6.75767
53.8589,1.4472884,6.566788,6.7552714
54.850697,1.5738516,6.567188,6.752873
55.842506,1.7003686,6.5675874,6.7504745
56.834316,1.82684,6.5679874,6.748076
57.826138,1.9532659,6.5685806,6.745871
58.81796,2.0796466,6.5691805,6.7436724
59.80979,2.2059824,6.56978,6.7414737
60.801624,2.3322737,6.5703797,6.739275
61.793465,2.4585204,6.570979,6.7370763
62.785313,2.5847232,6.571386,6.7348776
63.777164,2.710882,6.5717854,6.732679
64.76902,2.836997,6.5721855,6.73048
65.76089,2.963069,6.572585,6.7282815
66.752754,3.0890977,6.5729847,6.726083
67.74463,3.2150838,6.573577,6.7238846
68.73651,3.3410275,6.574177,6.721686
69.72839,3.4669287,6.574776,6.719487
70.72028,3.592788,6.575376,6.7172885
71.71218,3.7186053,6.5759754,6.71509
72.70408,3.8443813,6.5763836,6.7126994
73.69599,3.9701161,6.576783,6.710301
74.6879,4.09581,6.577183,6.7079024
75.67982,4.221463,6.577583,6.705504
76.67174,4.3470764,6.5779824,6.7031054
77.663666,4.472649,6.578382,6.700898
78.655594,4.598182,6.578782,6.6986995
79.64753,4.7236757,6.5791817,6.696501
80.63947,4.8491297,6.5795813,6.694302
81.631424,4.974545,6.5799813,6.6921034
82.623375,5.099921,6.5805717,6.6899047
83.615326,5.225259,6.581171,6.687706
84.60729,5.3505583,6.581771,6.6855073
85.59926,5.4758196,6.5823703,6.683309
86.591225,5.6010437,6.58297,6.6811104
87.583206,5.72623,6.5833797,6.6789117
88.57518,5.8513794,6.5837793,6.676713
89.56717,5.976492,6.5841794,6.6745143
90.55916,6.1015677,6.584579,6.6723156
91.551155,6.2266073,6.5849786,6.670117
92.54315,6.351611,6.5855675,6.6679187
93.53516,6.4765787,6.5861673,6.66572
94.52716,6.601511,6.5867667,6.6635213
95.51917,6.726408,6.5873666,6.6613226
96.51119,6.8512697,6.587966,6.659124
97.50321,6.976097,6.588377,6.656737
98.49524,7.1008897,6.588777,6.6543384
99.48727,7.225648,6.5891767,6.65194
100.4793,7.3503723,6.5895762,6.6495414
101.47134,7.475063,6.5899763,6.647143
102.46338,7.59972,6.590564,6.6449323
103.45543,7.724344,6.5911636,6.6427336
104.44748,7.848935,6.591763,6.640535
105.43953,7.9734936,6.592363,6.638336
106.43159,8.098021,6.5929623,6.6361375
107.42365,8.222514,6.5933747,6.633939
108.41572,8.346977,6.5937743,6.6317406
109.40779,8.471409,6.5941744,6.629542
110.399864,8.595809,6.594574,6.627343
111.391945,8.720178,6.5949736,6.6251445
112.384026,8.844516,6.5953736,6.622946
113.376114,8.968823,6.595773,6.620747
114.3682,9.093101,6.596173,6.6185484
115.36029,9.217348,6.596573,6.6163497
116.352394,9.341566,6.5969725,6.6141515
117.34449,9.4657545,6.5979304,6.6117663
118.33659,9.589913,6.59893,6.609368
119.328705,9.714045,6.5999293,6.6069694
120.320816,9.838147,6.600929,6.604571
121.312935,9.96222,6.601928,6.6021724
122.30505,10.0862665,6.6036696,6.5995884
123.29717,10.210284,6.6054683,6.59699
124.2893,10.334274,6.6072674,6.594392
125.281425,10.458238,6.609066,6.591793
126.27356,10.582173,6.610865,6.589195
127.26569,10.706083,6.612664,6.5865965
128.25784,10.829967,6.614463,6.583998
129.24998,10.953823,6.616262,6.5813994
130.24213,11.077655,6.6180606,6.578801
131.23427,11.20146,6.6198597,6.576203
132.22643,11.32524,6.621843,6.573604
133.21858,11.448996,6.623842,6.571006
134.21074,11.572725,6.62584,6.5684075
135.2029,11.696431,6.627839,6.5658092
136.19507,11.820112,6.629838,6.5632105
137.18723,11.943769,6.6316533,6.560796
138.1794,12.067403,6.633452,6.5583973
139.17157,12.191013,6.635251,6.555999
140.16376,12.3146,6.6370497,6.5536003
141.15593,12.438165,6.638849,6.551202
142.14812,12.561706,6.6408305,6.54862
143.14029,12.685225,6.6428294,6.5460215
144.13248,12.808722,6.6448283,6.543423
145.12468,12.932198,6.646827,6.540825
146.11687,13.055651,6.648826,6.538226
147.10905,13.179083,6.6506424,6.535628
148.10126,13.302493,6.652441,6.533029
149.09346,13.425883,6.65424,6.530431
150.08566,13.549253,6.656039,6.5278325
151.07787,13.672603,6.657838,6.5252337
152.07008,13.795932,6.6598186,6.5226355
153.06229,13.919242,6.6618176,6.520037
154.0545,14.042532,6.6638165,6.5174384
155.04672,14.165804,6.6658154,6.51484
156.03894,14.289056,6.6678143,6.5122414
157.03116,14.41229,6.669632,6.509643
158.02338,14.535505,6.6714306,6.507045
159.0156,14.658702,6.6732297,6.504446
160.00783,14.781881,6.675029,6.5018477
161.00006,14.905043,6.6768274,6.499249
161.9923,15.028187,6.6786265,6.4966507
162.98453,15.151314,6.6804256,6.494052
163.97676,15.274425,6.6822243,6.4914536
164.969,15.397519,6.6840234,6.488855
165.96123,15.5205965,6.6858225,6.4862566
166.95348,15.643659,6.6878014,6.483658
167.94572,15.766705,6.6898003,6.4810596
168.93796,15.889736,6.691799,6.478461
169.9302,16.012753,6.693798,6.4758625
170.92245,16.135752,6.695797,6.4732637
171.9147,16.258738,6.6976166,6.4706655
172.90697,16.38171,6.699415,6.4680667
173.89922,16.504667,6.7012143,6.465468
174.89148,16.627611,6.7030134,6.4628696
175.88373,16.750542,6.7048125,6.460271
176.87599,16.873459,6.7067904,6.4576726
177.86826,16.996363,6.7087893,6.455074
178.86052,17.119255,6.7107882,6.4524755
179.85278,17.242134,6.712787,6.449877
180.84505,17.365,6.714786,6.447278
181.83731,17.487856,6.7166066,6.4446797
182.82957,17.610699,6.7184057,6.442081
183.82185,17.73353,6.7202044,6.439482
184.81412,17.85635,6.7220035,6.436884
185.8064,17.97916,6.7238026,6.434285
186.79866,18.10196,6.7256017,6.4318643
187.79094,18.224749,6.727401,6.429466
188.78322,18.347527,6.7292,6.427067
189.7755,18.470297,6.730999,6.4246683
190.76778,18.593056,6.7327976,6.4222693
191.76006,18.715807,6.7347746,6.4196935
192.75233,18.838547,6.7367735,6.4170947
193.74461,18.961279,6.7387724,6.414496
194.7369,19.084003,6.7407713,6.411897
195.72919,19.206718,6.74277,6.409299
196.72147,19.329428,6.744592,6.4067
197.71376,19.452127,6.7463913,6.4041014
198.70604,19.57482,6.7481904,6.4015026
199.69833,19.697506,6.7499895,6.398904
200.69061,19.820185,6.7517886,6.396305
201.6829,19.942858,6.753764,6.3937063
202.6752,20.065525,6.755763,6.391108
203.6675,20.188185,6.7577624,6.3885093
204.65977,20.310839,6.7597613,6.3859105
205.65207,20.433489,6.76176,6.3833117
206.64436,20.556133,6.763583,6.380713
207.63666,20.678772,6.7653823,6.378114
208.62895,20.801405,6.7671814,6.3755155
209.62125,20.924036,6.768981,6.3729167
210.61354,21.046661,6.77078,6.370318
211.60583,21.169283,6.772579,6.367719
212.59814,21.2919,6.7743783,6.3651204
213.59044,21.414515,6.7761774,6.3625216
214.58273,21.537127,6.7779765,6.359923
215.57503,21.659735,6.7797756,6.357324
216.56732,21.782341,6.7817497,6.3547254
217.55963,21.904945,6.783749,6.3521266
218.55193,22.027548,6.785748,6.3495274
219.54422,22.150148,6.787747,6.3469286
220.53651,22.272747,6.7897463,6.34433
221.52882,22.395346,6.7915707,6.341731
222.52112,22.517942,6.7933702,6.3391323
223.51341,22.640537,6.7951694,6.3365335
224.50572,22.763134,6.7969685,6.3339343
225.49802,22.885729,6.7987676,6.3313355
226.49031,23.008326,6.800741,6.328737
227.48262,23.13092,6.80274,6.326138
