# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.683339,-1.878198,5.074,5.271
-1.3164405,-0.94816494,5.0789995,5.2757993
-0.9495342,-0.018134883,5.0839987,5.2805986
-0.58262056,0.91189224,5.0889983,5.285398
-0.21569988,1.8419166,5.0939975,5.290198
0.15122761,2.7719383,5.098997,5.294997
0.5181616,3.7019575,5.104196,5.2997966
0.8851018,4.631974,5.1093955,5.304596
1.2520478,5.5619884,5.114595,5.3093953
1.6189994,6.4920006,5.1197944,5.3141947
1.9859561,7.4220104,5.124994,5.318994
2.3529177,8.352019,5.1299934,5.323794
2.719884,9.282025,5.134993,5.3285933
3.0868545,10.21203,5.139992,5.3333926
3.4538288,11.142033,5.144992,5.338192
3.820807,12.072035,5.149991,5.3429914
4.1877885,13.002035,5.1549907,5.347791
4.5547733,13.9320345,5.1599903,5.3525906
4.9217606,14.862032,5.1649895,5.35739
5.28875,15.792029,5.169989,5.3621893
5.655742,16.722025,5.1749883,5.366989
6.022736,17.652021,5.179988,5.3717885
6.3897314,18.582016,5.1849875,5.376588
6.7567277,19.51201,5.189987,5.3813877
7.123725,20.442005,5.1949863,5.386187
7.4907227,21.371998,5.199986,5.3909864
7.8577204,22.301992,5.205185,5.3957863
8.224718,23.231987,5.2103844,5.4005857
8.591716,24.16198,5.215584,5.405385
8.958712,25.091974,5.220783,5.410185
9.325707,26.021969,5.225983,5.414984
9.692702,26.951965,5.2309833,5.419784
10.059694,27.881962,5.235983,5.4245834
10.426685,28.811958,5.2409825,5.4293833
10.793674,29.741955,5.2459817,5.4341826
11.16066,30.671953,5.2509813,5.438982
11.527643,31.601954,5.255981,5.4435825
11.894624,32.531956,5.2609806,5.448182
12.2616,33.461956,5.2659802,5.4527817
12.628572,34.39196,5.27098,5.4573817
12.995541,35.321964,5.2759795,5.4619813
13.362505,36.251972,5.280979,5.46678
13.729465,37.181984,5.285979,5.4715796
14.096418,38.11199,5.2909784,5.4763794
14.4633665,39.042007,5.295978,5.481179
14.83031,39.972023,5.3009777,5.4859786
15.197247,40.90204,5.3061767,5.4907784
15.5641775,41.83206,5.3113766,5.4955783
15.931102,42.762085,5.316576,5.5003777
16.29802,43.69211,5.321776,5.5051775
16.664928,44.62214,5.3269753,5.5099773
17.031832,45.55217,5.331976,5.514777
17.398726,46.482204,5.336976,5.519577
17.765612,47.412243,5.3419757,5.524377
18.13249,48.342285,5.3469753,5.529176
18.49936,49.272327,5.351975,5.533976
18.866219,50.202377,5.356975,5.538776
19.233068,51.132427,5.3619747,5.543576
19.599909,52.062485,5.366975,5.5483756
19.96674,52.992546,5.3719745,5.5531754
20.33356,53.922607,5.376974,5.5579753
20.700369,54.852676,5.381974,5.562775
21.067167,55.78275,5.386974,5.567575
21.433954,56.712826,5.391974,5.572375
21.80073,57.642906,5.3969736,5.5771747
22.167494,58.572994,5.4019737,5.5819745
22.534246,59.503086,5.4071727,5.586775
22.900984,60.43318,5.4123726,5.5915747
23.26771,61.36328,5.4175725,5.5963745
23.634422,62.29339,5.4227724,5.6011744
24.001122,63.2235,5.4279723,5.605974
24.367807,64.15362,5.4329734,5.6107745
24.73448,65.08374,5.4379735,5.6155744
25.101135,66.01387,5.442973,5.620374
25.46778,66.944,5.4479733,5.6251745
